Tijdstip;m3/s;kg CL / s
01-01-2003 00:00;27.706381787129633;5.22081015305212
02-01-2003 00:00;27.30575519882145;5.40827692610648
03-01-2003 00:00;30.208738792454447;6.473565744725983
04-01-2003 00:00;29.610731571650028;6.05406411848583
05-01-2003 00:00;28.976505115755895;4.550470682162641
06-01-2003 00:00;28.48880522567415;4.366891888539645
07-01-2003 00:00;31.10503803054938;3.365451046088848
08-01-2003 00:00;32.07508897231687;2.6625654186429335
09-01-2003 00:00;28.163438747506174;6.570424012927068
10-01-2003 00:00;28.953826333660494;6.824257774816473
11-01-2003 00:00;30.966501650907407;4.456331241214071
12-01-2003 00:00;28.872914768320843;6.453195244886382
13-01-2003 00:00;29.625513736605086;4.9713928394465805
14-01-2003 00:00;30.78135984144364;3.5452040303445513
15-01-2003 00:00;25.836736866723022;4.351715211793677
16-01-2003 00:00;25.814048160851847;9.111712872706137
17-01-2003 00:00;31.3654276895;5.376178074577738
18-01-2003 00:00;28.272312572808787;5.848950898819655
19-01-2003 00:00;30.085246472446535;6.388357807731192
20-01-2003 00:00;27.978136654244683;5.0018375220489615
21-01-2003 00:00;29.934051077574075;4.364180204859157
22-01-2003 00:00;31.480396768222217;3.8997475219882864
23-01-2003 00:00;28.4040671877037;5.611469231226193
24-01-2003 00:00;29.734216449648148;5.155477812400011
25-01-2003 00:00;30.41233407618519;5.755670272429552
26-01-2003 00:00;29.244549676981478;5.7869568619002285
27-01-2003 00:00;27.65158536512963;4.428061439662108
28-01-2003 00:00;25.38150810185185;4.512854984838671
29-01-2003 00:00;27.48627465214815;5.701969175068849
30-01-2003 00:00;27.43275231481481;5.54154442171972
31-01-2003 00:00;31.76752062027778;4.894527134906611
01-02-2003 00:00;30.361924116018518;4.058570243374345
02-02-2003 00:00;28.5280614922037;4.737739322798693
03-02-2003 00:00;28.72681243395679;5.649170840730345
04-02-2003 00:00;24.688597735121252;4.897570457358809
05-02-2003 00:00;27.847134953644183;3.232392879347287
06-02-2003 00:00;31.33143698972222;4.566734884850149
07-02-2003 00:00;30.308777125078702;5.5383767639088495
08-02-2003 00:00;24.573779673681642;5.781578487003054
09-02-2003 00:00;28.306415939758168;5.236217755540644
10-02-2003 00:00;31.990782222388887;4.312371176080413
11-02-2003 00:00;31.104167539555554;3.0306156876063923
12-02-2003 00:00;25.615074569098763;3.4521126905390846
13-02-2003 00:00;30.051628124774453;5.617226918338876
14-02-2003 00:00;31.37507571723361;5.804241070061308
15-02-2003 00:00;27.366500586911677;3.9436776980974897
16-02-2003 00:00;30.839119676594652;5.576032521827169
17-02-2003 00:00;25.858825049041148;3.2255338718799327
18-02-2003 00:00;30.837437764723713;3.698649377010037
19-02-2003 00:00;30.212438020103445;3.436636848747106
20-02-2003 00:00;28.380378647407404;4.645797856005689
21-02-2003 00:00;31.03284602159259;4.451711115986382
22-02-2003 00:00;30.803150878386834;4.061632209728621
23-02-2003 00:00;32.86748632935391;4.142179656773854
24-02-2003 00:00;28.95844229685185;4.2178307889320426
25-02-2003 00:00;28.986602321111107;3.253819621792615
26-02-2003 00:00;29.41370398162963;4.658330509041524
27-02-2003 00:00;31.145912474723904;3.9081948028942786
28-02-2003 00:00;30.564451456109428;3.337344608231839
01-03-2003 00:00;30.08935763664706;6.286815085756212
02-03-2003 00:00;29.79134208001089;3.6216616943126754
03-03-2003 00:00;28.631281385282374;4.450778995474498
04-03-2003 00:00;31.851497106495085;2.7960609033511865
05-03-2003 00:00;29.97722278810162;3.030967310192154
06-03-2003 00:00;28.22405545241085;4.8972739629777235
07-03-2003 00:00;29.672113835697612;4.804135985038709
08-03-2003 00:00;25.76198208233598;4.517938916636474
09-03-2003 00:00;30.282254086089228;5.693210359964939
10-03-2003 00:00;27.88479991957744;5.436527170629355
11-03-2003 00:00;26.9470764884074;3.6314216583265364
12-03-2003 00:00;24.49462055377601;5.862534516494919
13-03-2003 00:00;30.973435083464725;5.019535067011567
14-03-2003 00:00;31.036138812203703;4.738170403068345
15-03-2003 00:00;9.895893749230769;12.461650309141902
16-03-2003 00:00;10.275559665512363;16.49288737977538
17-03-2003 00:00;8.679496366423535;15.162513400167324
18-03-2003 00:00;9.924143319781892;9.78650665259719
19-03-2003 00:00;9.655885384347739;13.143534801972104
20-03-2003 00:00;8.09353666485185;16.659312240986324
21-03-2003 00:00;9.299693444011396;19.241281018792826
22-03-2003 00:00;9.977381858581197;18.045841698103413
23-03-2003 00:00;9.005028307037039;21.306215103066986
24-03-2003 00:00;9.689880851981483;15.062508982598066
25-03-2003 00:00;10.32269562912963;8.532576338774676
26-03-2003 00:00;10.083043333703703;14.58887359154746
27-03-2003 00:00;9.855210022518518;13.53966915342602
28-03-2003 00:00;9.123601174962964;19.130343703146472
29-03-2003 00:00;9.197491441290122;15.81905023427725
30-03-2003 00:00;7.937376791043211;14.724879752879872
31-03-2003 00:00;8.917255890814815;16.3808995881488
01-04-2003 00:00;7.804065911444443;9.51408460551127
02-04-2003 00:00;6.075353823166667;16.02590809045683
03-04-2003 00:00;8.61138636591453;18.675961839678337
04-04-2003 00:00;9.825551561529913;19.93826047699454
05-04-2003 00:00;9.070128948855558;12.49359724803842
06-04-2003 00:00;9.51028745374191;19.812790186421676
07-04-2003 00:00;10.196249214143274;15.632725340068994
08-04-2003 00:00;8.961403439154322;9.079189513293565
09-04-2003 00:00;11.144624146854941;9.698636249053333
10-04-2003 00:00;9.780906295305556;18.672953899349018
11-04-2003 00:00;8.62584088174074;20.768248473967397
12-04-2003 00:00;8.370088908018518;13.468735643482315
