Tijdstip;IN_DEBIET;UIT_DEBIET;ATMOSFEER_DEBIET;WATERSTAND_VERANDERING_DEBIET;BALANS
;m3/s;m3/s;m3/s;m3/s;m3/s
2018-01-01 00:00;24.605;16.4;5.9649884259259265;13.542094907407412;0.6278935185185173
2018-01-02 00:00;24.197000000000003;43.07618981481482;5.964988425925926;-13.542094907407423;0.6278935185185333
2018-01-03 00:00;23.912;26.63219675925925;3.0402199074074074;0.0;0.320023148148155
2018-01-04 00:00;22.814;22.676268518518512;-0.1539351851851852;0.0;-0.016203703703697142
2018-01-05 00:00;24.549;25.031060185185176;0.5387731481481483;9.557041372279633e-15;0.05671296296296246
2018-01-06 00:00;24.321;25.009657407407403;0.7696759259259259;9.557041372279633e-15;0.08101851851851515
2018-01-07 00:00;25.062;24.85540277777779;-0.2309027777777778;-9.557041372279633e-15;-0.024305555555557457
2018-01-08 00:00;24.794;24.449671296296295;-0.3848379629629631;0.0;-0.040509259259257135
2018-01-09 00:00;25.354;25.078537037037037;-0.3078703703703704;0.0;-0.032407407407408495
2018-01-10 00:00;26.97;26.93556712962963;-0.038483796296296294;0.0;-0.004050925925926055
2018-01-11 00:00;35.410000000000004;35.13453703703704;-0.3078703703703704;0.0;-0.032407407407408495
2018-01-12 00:00;36.443999999999996;36.168537037037034;-0.3078703703703704;0.0;-0.032407407407408495
2018-01-13 00:00;97.861;66.00273103487152;0.7311921296296298;32.512493502165526;0.07696759259259522
2018-01-14 00:00;103.567;72.78123033572294;-0.1539351851851852;30.648038182795577;-0.016203703703709493
2018-01-15 00:00;72.684;86.60454242684;1.6932870370370368;-12.405496130543707;0.17824074074074225
2018-01-16 00:00;54.458999999999996;83.05629616645261;-0.4618055555555556;-29.010490610897055;-0.04861111111111782
2018-01-17 00:00;38.43;59.899081980557376;-0.3078703703703704;-21.74454494352033;-0.032407407407415434
2018-01-18 00:00;34.832;34.728701388888894;-0.1154513888888889;9.557041372279633e-15;-0.012152777777791288
2018-01-19 00:00;29.892;31.26931481481482;1.5393518518518519;0.0;0.16203703703703165
2018-01-20 00:00;29.662;33.86281018518519;4.695023148148149;-9.557041372279633e-15;0.4942129629629679
2018-01-21 00:00;26.000999999999998;26.75852314814815;0.8466435185185184;0.0;0.08912037037036602
2018-01-22 00:00;25.239;25.824358796296295;0.6542245370370372;0.0;0.06886574074074314
2018-01-23 00:00;23.916999999999998;24.399060185185185;0.5387731481481483;0.0;0.056712962962961355
2018-01-24 00:00;23.942999999999998;23.529805555555555;-0.4618055555555556;0.0;-0.048611111111112715
2018-01-25 00:00;24.33;25.328553240740735;1.1160300925925926;9.557041372279633e-15;0.11747685185184607
2018-01-26 00:00;23.576999999999998;25.91843518518519;2.616898148148148;-9.557041372279633e-15;0.275462962962967
2018-01-27 00:00;22.318;22.042537037037036;-0.3078703703703704;0.0;-0.03240740740740494
2018-01-28 00:00;22.69;25.823391203703707;3.5020254629629632;0.0;0.3686342592592573
2018-01-29 00:00;24.244999999999997;31.544768518518513;8.158564814814817;0.0;0.8587962962963012
2018-01-30 00:00;35.870999999999995;46.71735416666666;12.12239583333333;0.0;1.276041666666666
2018-01-31 00:00;34.814;36.53564351851852;1.9241898148148142;0.0;0.20254629629629517
2018-02-01 00:00;31.496000000000002;34.285062499999995;3.117187499999999;9.557041372279633e-15;0.32812499999999667
2018-02-02 00:00;30.583000000000002;31.684851851851864;1.2314814814814816;-9.557041372279633e-15;0.12962962962962932
2018-02-03 00:00;28.454;28.1096712962963;-0.3848379629629631;0.0;-0.04050925925926069
2018-02-04 00:00;27.543;30.53865972222222;3.3480902777777772;0.0;0.3524305555555558
2018-02-05 00:00;32.617;38.09182638888888;6.11892361111111;0.0;0.6440972222222241
2018-02-06 00:00;30.857999999999997;30.961298611111108;0.1154513888888889;0.0;0.012152777777778179
2018-02-07 00:00;28.635;29.633553240740746;1.1160300925925926;0.0;0.11747685185184853
2018-02-08 00:00;29.458;29.320268518518517;-0.1539351851851852;0.0;-0.016203703703704248
2018-02-09 00:00;28.711;28.77986574074074;0.07696759259259259;0.0;0.00810185185185211
2018-02-10 00:00;25.122;24.708805555555557;-0.4618055555555556;0.0;-0.048611111111112715
2018-02-11 00:00;26.782;26.29993981481482;-0.5387731481481483;-9.557041372279633e-15;-0.056712962962958906
2018-02-12 00:00;27.77;27.632268518518504;-0.1539351851851852;9.557041372279633e-15;-0.016203703703699595
2018-02-13 00:00;25.474000000000004;24.85420833333334;-0.6927083333333334;0.0;-0.07291666666666907
2018-02-14 00:00;26.061999999999998;25.442208333333326;-0.6927083333333334;9.557041372279633e-15;-0.07291666666667153
2018-02-15 00:00;21.628;21.421402777777786;-0.2309027777777778;0.0;-0.024305555555563463
2018-02-16 00:00;22.579;21.959208333333347;-0.6927083333333334;-9.557041372279633e-15;-0.07291666666667017
2018-02-17 00:00;24.176;23.48734259259259;-0.7696759259259262;0.0;-0.08101851851851782
2018-02-18 00:00;24.404;23.71534259259259;-0.7696759259259262;0.0;-0.08101851851851782
2018-02-19 00:00;23.42;22.66247685185185;-0.8466435185185184;0.0;-0.08912037037036602
2018-02-20 00:00;23.087;22.32947685185185;-0.8466435185185184;0.0;-0.08912037037036957
2018-02-21 00:00;24.767;24.00947685185185;-0.8466435185185184;0.0;-0.08912037037036957
2018-02-22 00:00;31.364;30.606476851851852;-0.8466435185185184;0.0;-0.08912037037036957
2018-02-23 00:00;93.148;92.25274537037038;-1.000578703703704;-9.557041372279633e-15;-0.10532407407407528
