Tijdstip;Bathse spuisluis;Bergse diepsluis;Krammersluizen;Kwel_Krammer_Volkerak_West;Kwel_Eendracht_Noord;Kwel_Eendracht_Zuid;Kwel_Zoommeer;Kwel_Zoommeer_Zuid
;g NaCL/s;g NaCL / S;g NaCL / S;g NaCL / S;g NaCL / S;g NaCL / S;g NaCL / S;g NaCL / S
2018-01-01 00:00;100.0;500.0;5284.289154369018;899.9999999999999;300.00000000000006;300.00000000000006;750.0;750.0
2018-01-02 00:00;100.0;500.0;5713.637327168728;899.9999999999999;300.00000000000006;300.00000000000006;750.0;750.0
2018-01-03 00:00;100.0;500.0;6741.678769305889;899.9999999999999;300.00000000000006;300.00000000000006;750.0;750.0
2018-01-04 00:00;100.0;500.0;6128.2287340873345;899.9999999999999;300.00000000000006;300.00000000000006;750.0;750.0
2018-01-05 00:00;100.0;500.0;5019.761494684832;899.9999999999999;300.00000000000006;300.00000000000006;750.0;750.0
2018-01-06 00:00;100.0;500.0;4522.514294076707;899.9999999999999;300.00000000000006;300.00000000000006;750.0;750.0
2018-01-07 00:00;100.0;500.0;3501.935676636277;899.9999999999999;300.00000000000006;300.00000000000006;750.0;750.0
2018-01-08 00:00;100.0;500.0;2755.351090679312;899.9999999999999;300.00000000000006;300.00000000000006;750.0;750.0
2018-01-09 00:00;100.0;500.0;7512.696625354593;899.9999999999999;300.00000000000006;300.00000000000006;750.0;750.0
2018-01-10 00:00;100.0;500.0;7005.603922817095;899.9999999999999;300.00000000000006;300.00000000000006;750.0;750.0
2018-01-11 00:00;100.0;500.0;4699.456140960825;899.9999999999999;300.00000000000006;300.00000000000006;750.0;750.0
2018-01-12 00:00;100.0;500.0;6685.376628250632;899.9999999999999;300.00000000000006;300.00000000000006;750.0;750.0
2018-01-13 00:00;100.0;500.0;5182.202140562494;899.9999999999999;300.00000000000006;300.00000000000006;750.0;750.0
2018-01-14 00:00;100.0;500.0;3716.693540194393;899.9999999999999;300.00000000000006;300.00000000000006;750.0;750.0
2018-01-15 00:00;100.0;500.0;4503.272609889038;899.9999999999999;300.00000000000006;300.00000000000006;750.0;750.0
2018-01-16 00:00;100.0;500.0;9196.527874381703;899.9999999999999;300.00000000000006;300.00000000000006;750.0;750.0
2018-01-17 00:00;100.0;500.0;5507.080921531775;899.9999999999999;300.00000000000006;300.00000000000006;750.0;750.0
2018-01-18 00:00;100.0;500.0;6095.0052700306705;899.9999999999999;300.00000000000006;300.00000000000006;750.0;750.0
2018-01-19 00:00;100.0;500.0;6452.367759794116;899.9999999999999;300.00000000000006;300.00000000000006;750.0;750.0
2018-01-20 00:00;100.0;500.0;5068.418349872194;899.9999999999999;300.00000000000006;300.00000000000006;750.0;750.0
2018-01-21 00:00;100.0;500.0;4486.252206696754;899.9999999999999;300.00000000000006;300.00000000000006;750.0;750.0
2018-01-22 00:00;100.0;500.0;3961.121306628821;899.9999999999999;300.00000000000006;300.00000000000006;750.0;750.0
2018-01-23 00:00;100.0;500.0;6173.660175254282;899.9999999999999;300.00000000000006;300.00000000000006;750.0;750.0
2018-01-24 00:00;100.0;500.0;5262.308265242698;899.9999999999999;300.00000000000006;300.00000000000006;750.0;750.0
