Tijdstip;Neerslag_I;Neerslag_II;Neerslag_III;Neerslag_IV;Neerslag_V;Neerslag_VI;Neerslag_VII;Neerslag_VIII;Neerslag_IX
;m3/s;m3/s;m3/s;m3/s;m3/s;m3/s;m3/s;m3/s;m3/s
2018-01-01 00:00;1.3628472222222223;0.726851851851852;0.5905671296296298;1.271990740740741;0.15899884259259262;0.15899884259259262;0.7722800925925928;0.22714120370370375;0.13628472222222224
2018-01-02 00:00;1.362847222222222;0.7268518518518517;0.5905671296296295;1.2719907407407405;0.15899884259259256;0.15899884259259256;0.7722800925925926;0.2271412037037037;0.1362847222222222
2018-01-03 00:00;0.7204861111111109;0.3842592592592592;0.3122106481481481;0.6724537037037035;0.08405671296296294;0.08405671296296294;0.40827546296296285;0.1200810185185185;0.0720486111111111
2018-01-04 00:00;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2018-01-05 00:00;0.15625000000000003;0.08333333333333334;0.06770833333333334;0.14583333333333334;0.018229166666666668;0.018229166666666668;0.08854166666666667;0.026041666666666668;0.015625000000000003
2018-01-06 00:00;0.24305555555555555;0.12962962962962962;0.10532407407407407;0.22685185185185186;0.028356481481481483;0.028356481481481483;0.13773148148148148;0.04050925925925926;0.024305555555555556
2018-01-07 00:00;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2018-01-08 00:00;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2018-01-09 00:00;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2018-01-10 00:00;0.043402777777777776;0.023148148148148147;0.01880787037037037;0.04050925925925926;0.005063657407407407;0.005063657407407407;0.02459490740740741;0.007233796296296296;0.004340277777777778
2018-01-11 00:00;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2018-01-12 00:00;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2018-01-13 00:00;0.19965277777777782;0.1064814814814815;0.08651620370370372;0.18634259259259264;0.02329282407407408;0.02329282407407408;0.1131365740740741;0.033275462962962965;0.01996527777777778
2018-01-14 00:00;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2018-01-15 00:00;0.45138888888888895;0.24074074074074078;0.1956018518518519;0.4212962962962964;0.05266203703703705;0.05266203703703705;0.2557870370370371;0.0752314814814815;0.045138888888888895
2018-01-16 00:00;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2018-01-17 00:00;0.017361111111111112;0.009259259259259259;0.007523148148148148;0.016203703703703703;0.002025462962962963;0.002025462962962963;0.009837962962962963;0.0028935185185185184;0.001736111111111111
2018-01-18 00:00;0.008680555555555556;0.004629629629629629;0.003761574074074074;0.008101851851851851;0.0010127314814814814;0.0010127314814814814;0.004918981481481482;0.0014467592592592592;0.0008680555555555555
2018-01-19 00:00;0.3645833333333333;0.19444444444444445;0.1579861111111111;0.3402777777777778;0.042534722222222224;0.042534722222222224;0.2065972222222222;0.06076388888888889;0.036458333333333336
2018-01-20 00:00;1.076388888888889;0.5740740740740742;0.4664351851851853;1.0046296296296298;0.12557870370370372;0.12557870370370372;0.6099537037037038;0.17939814814814817;0.10763888888888891
2018-01-21 00:00;0.29513888888888895;0.15740740740740744;0.12789351851851852;0.27546296296296297;0.03443287037037037;0.03443287037037037;0.16724537037037038;0.04918981481481482;0.029513888888888888
2018-01-22 00:00;0.19965277777777782;0.1064814814814815;0.08651620370370372;0.18634259259259264;0.02329282407407408;0.02329282407407408;0.1131365740740741;0.033275462962962965;0.01996527777777778
2018-01-23 00:00;0.15625000000000003;0.08333333333333334;0.06770833333333334;0.14583333333333334;0.018229166666666668;0.018229166666666668;0.08854166666666667;0.026041666666666668;0.015625000000000003
2018-01-24 00:00;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2018-01-25 00:00;0.28645833333333337;0.1527777777777778;0.12413194444444446;0.26736111111111116;0.033420138888888895;0.033420138888888895;0.16232638888888892;0.047743055555555566;0.02864583333333334
2018-01-26 00:00;0.625;0.3333333333333333;0.2708333333333333;0.5833333333333334;0.07291666666666667;0.07291666666666667;0.3541666666666667;0.10416666666666667;0.0625
2018-01-27 00:00;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2018-01-28 00:00;0.8767361111111112;0.4675925925925926;0.37991898148148145;0.8182870370370371;0.10228587962962964;0.10228587962962964;0.49681712962962965;0.14612268518518517;0.0876736111111111
2018-01-29 00:00;1.8923611111111114;1.0092592592592595;0.8200231481481484;1.766203703703704;0.220775462962963;0.220775462962963;1.072337962962963;0.31539351851851855;0.18923611111111113
2018-01-30 00:00;2.7864583333333335;1.4861111111111114;1.207465277777778;2.6006944444444446;0.3250868055555556;0.3250868055555556;1.5789930555555558;0.4644097222222223;0.27864583333333337
2018-01-31 00:00;0.4687499999999999;0.24999999999999994;0.20312499999999994;0.4374999999999999;0.054687499999999986;0.054687499999999986;0.26562499999999994;0.07812499999999999;0.04687499999999999
2018-02-01 00:00;0.7378472222222221;0.39351851851851843;0.3197337962962963;0.6886574074074073;0.08608217592592592;0.08608217592592592;0.4181134259259258;0.12297453703703702;0.07378472222222221
2018-02-02 00:00;0.3472222222222222;0.18518518518518517;0.15046296296296297;0.32407407407407407;0.04050925925925926;0.04050925925925926;0.19675925925925927;0.05787037037037037;0.034722222222222224
2018-02-03 00:00;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
