Tijdstip;Waterstand streefwaarde;Waterstand werkelijk;Volkeraksluizen;Dintel;Vliet;Krammersluizen;Krammersluizen (na correctie);Bergse diepsluis;Kreekraksluizen;Bathse spuisluis (voor correctie);Bathse spuisluis;Watervraag Hollandse Delta;Watervraag Brabantse Delta;Watervraag Scheldestromen;Neerslag;Verdamping;Kwel
;m NAP;m NAP;m3/s;m3/s;m3/s;m3/s;m3/s;m3/s;m3/s;m3/s;m3/s;m3/s;m3/s;m3/s;mm/d;mm/d;mm/d
2018-01-01 00:00;-0.05;-0.1;15.0;7.492000000000001;2.113;28.10082623157407;9.0;1;2;-39.99160169453704;0;0.5;0.9;3;7.8500000000000005;0.1;0
2018-01-02 00:00;-0.1;-0.08033551260504201;15.0;7.492000000000001;1.705;26.583066514673305;26.583066514673305;1;2;9.093123300141517;9.093123300141517;0.5;0.9;3;7.849999999999999;0.1;0
2018-01-03 00:00;-0.1;-0.10000000000000002;15.0;7.492000000000001;1.42;30.068680067121115;19.232196759259253;1;2;-10.836483307861863;0;0.5;0.9;3;4.1499999999999995;0.2;0
2018-01-04 00:00;-0.1;-0.10000000000000002;15.0;7.492000000000001;0.322;30.03495379387225;15.276268518518515;1;2;-14.758685275353736;0;0.5;0.9;3;0.0;0.2;0
2018-01-05 00:00;-0.1;-0.10000000000000002;15.0;7.492000000000001;2.057;29.01159389288047;17.631060185185177;1;2;-11.380533707695292;0;0.5;0.9;3;0.9;0.2;0
2018-01-06 00:00;-0.1;-0.1;15.0;7.492000000000001;1.829;28.36083313936439;17.609657407407404;1;2;-10.751175731956986;0;0.5;0.9;3;1.4;0.4;0
2018-01-07 00:00;-0.1;-0.09999999999999999;15.0;7.492000000000001;2.57;28.663186178697533;17.455402777777792;1;2;-11.20778340091974;0;0.5;0.9;3;0.0;0.3;0
2018-01-08 00:00;-0.1;-0.1;15.0;7.492000000000001;2.302;32.22993803187242;17.049671296296296;1;2;-15.180266735576124;0;0.5;0.9;3;0.0;0.5;0
2018-01-09 00:00;-0.1;-0.1;15.0;7.492000000000001;2.862;27.384046968746915;17.67853703703704;1;2;-9.705509931709878;0;0.5;0.9;3;0.0;0.4;0
2018-01-10 00:00;-0.1;-0.1;15.0;7.492000000000001;4.478;28.94078541217901;19.53556712962963;1;2;-9.40521828254938;0;0.5;0.9;3;0.25;0.3;0
2018-01-11 00:00;-0.1;-0.1;15.0;17.167;3.2430000000000003;29.791914258240737;27.734537037037043;1;2;-2.057377221203695;0;0.5;0.9;3;0.0;0.4;0
2018-01-12 00:00;-0.1;-0.1;15.0;18.208;3.236;28.645017954894914;28.645017954894914;1;2;0.1235190821421231;0.1235190821421231;0.5;0.9;3;0.0;0.4;0
2018-01-13 00:00;-0.1;-0.1;15.0;67.952;14.909;28.583596174586567;28.583596174586567;1;2;62.531628362450476;30.019134860284957;0.5;0.9;3;1.1500000000000001;0.2;0
2018-01-14 00:00;-0.1;-0.05278858086408234;15.0;75.689;12.878;30.040736757443643;30.040736757443643;1;2;98.5010252632404;35.3404935782793;0.5;0.9;3;0.0;0.2;0
2018-01-15 00:00;-0.1;-0.008284538864190958;15.0;48.068000000000005;9.616;26.088943503389693;26.088943503389693;1;2;75.14297316327698;53.11559892345031;0.5;0.9;3;2.6;0.4;0
2018-01-16 00:00;-0.1;-0.026298570220140136;15.0;32.955;6.504;26.18867779048148;26.18867779048148;1;2;54.88999813544444;49.46761837597112;0.5;0.9;3;0.0;0.6;0
2018-01-17 00:00;-0.1;-0.06842472801478729;15.0;19.687;3.7430000000000003;30.914131393203697;30.914131393203697;1;2;21.584950587353678;21.584950587353678;0.5;0.9;3;0.1;0.5;0
2018-01-18 00:00;-0.1;-0.1;15.0;16.791;3.0410000000000004;27.251831284808787;27.251831284808787;1;2;0.0768701040801037;0.0768701040801037;0.5;0.9;3;0.05;0.2;0
2018-01-19 00:00;-0.1;-0.09999999999999999;15.0;13.401;1.4909999999999999;30.48746869466876;23.86931481481482;1;2;-6.618153879853938;0;0.5;0.9;3;2.0999999999999996;0.1;0
2018-01-20 00:00;-0.1;-0.09999999999999999;15.0;12.625;2.037;28.403692209800237;26.46281018518519;1;2;-1.9408820246150456;0;0.5;0.9;3;6.2;0.1;0
2018-01-21 00:00;-0.1;-0.1;15.0;10.277999999999999;0.723;30.25818516935185;19.35852314814815;1;2;-10.8996620212037;0;0.5;0.9;3;1.7000000000000002;0.6;0
2018-01-22 00:00;-0.1;-0.1;15.0;8.36;1.879;31.898174545999993;18.424358796296296;1;2;-13.473815749703695;0;0.5;0.9;3;1.1500000000000001;0.3;0
2018-01-23 00:00;-0.1;-0.1;15.0;7.223;1.694;27.60794377185185;16.999060185185186;1;2;-10.608883586666666;0;0.5;0.9;3;0.9;0.2;0
2018-01-24 00:00;-0.1;-0.1;15.0;7.15;1.7930000000000001;29.00199422742593;16.129805555555556;1;2;-12.87218867187037;0;0.5;0.9;3;0.0;0.6;0
2018-01-25 00:00;-0.1;-0.1;15.0;8.0;1.33;30.822334076185182;17.928553240740737;1;2;-12.893780835444446;0;0.5;0.9;3;1.6500000000000001;0.2;0
2018-01-26 00:00;-0.1;-0.09999999999999999;15.0;6.961;1.6159999999999999;28.76207383205556;18.51843518518519;1;2;-10.24363864687037;0;0.5;0.9;3;3.5999999999999996;0.2;0
2018-01-27 00:00;-0.1;-0.1;15.0;7.119;0.19899999999999998;27.842638509259263;14.642537037037036;1;2;-13.200101472222228;0;0.5;0.9;3;0.0;0.4;0
2018-01-28 00:00;-0.1;-0.1;15.0;7.0089999999999995;0.6809999999999999;25.86150810185185;18.42339120370371;1;2;-7.43811689814814;0;0.5;0.9;3;5.05;0.5;0
2018-01-29 00:00;-0.1;-0.1;15.0;7.354;1.891;27.86315155251852;24.144768518518514;1;2;-3.718383034000005;0;0.5;0.9;3;10.900000000000002;0.3;0
2018-01-30 00:00;-0.1;-0.1;15.0;17.032;3.839;27.912752314814817;27.912752314814817;1;2;11.404601851851845;11.404601851851845;0.5;0.9;3;16.05;0.3;0
2018-01-31 00:00;-0.1;-0.1;15.0;16.488;3.326;31.84278818287037;29.135643518518524;1;2;-2.707144664351845;0;0.5;0.9;3;2.6999999999999997;0.2;0
2018-02-01 00:00;-0.1;-0.1;15.0;13.115;3.3810000000000002;29.73845450385185;26.8850625;1;2;-2.8533920038518525;0;0.5;0.9;3;4.249999999999999;0.2;0
2018-02-02 00:00;-0.1;-0.09999999999999999;15.0;12.362;3.221;28.92250593664815;24.284851851851865;1;2;-4.637654084796285;0;0.5;0.9;3;2.0;0.4;0
2018-02-03 00:00;-0.1;-0.1;15.0;11.203;2.251;29.16792354506791;20.7096712962963;1;2;-8.45825224877161;0;0.5;0.9;3;0.0;0.5;0
2018-02-04 00:00;-0.1;-0.1;15.0;10.083;2.46;25.14526440178792;23.138659722222222;1;2;-2.006604679565697;0;0.5;0.9;3;4.85;0.5;0
2018-02-05 00:00;-0.1;-0.1;15.0;14.690999999999999;2.926;28.078592148088628;28.078592148088628;1;2;2.6132342408002556;2.6132342408002556;0.5;0.9;3;8.45;0.5;0
2018-02-06 00:00;-0.1;-0.1;15.0;13.33;2.528;31.27386390140741;23.56129861111111;1;2;-7.7125652902963004;0;0.5;0.9;3;0.55;0.4;0
2018-02-07 00:00;-0.1;-0.1;15.0;11.032;2.603;30.367410005782407;22.233553240740747;1;2;-8.13385676504166;0;0.5;0.9;3;1.5500000000000003;0.1;0
2018-02-08 00:00;-0.1;-0.1;15.0;11.692;2.766;24.902837451644608;21.92026851851852;1;2;-2.9825689331260894;0;0.5;0.9;3;0.0;0.2;0
2018-02-09 00:00;-0.1;-0.1;15.0;11.342;2.369;28.59506353599891;21.37986574074074;1;2;-7.21519779525817;0;0.5;0.9;3;0.39999999999999997;0.3;0
2018-02-10 00:00;-0.1;-0.1;15.0;8.431000000000001;1.6909999999999998;32.13466497355556;17.30880555555556;1;2;-14.825859418000002;0;0.5;0.9;3;0.0;0.6;0
2018-02-11 00:00;-0.1;-0.1;15.0;10.008;1.774;31.521945317333337;18.89993981481482;1;2;-12.622005502518517;0;0.5;0.9;3;0.0;0.7;0
2018-02-12 00:00;-0.1;-0.10000000000000002;15.0;10.558;2.2119999999999997;25.96436741820988;20.232268518518506;1;2;-5.732098899691373;0;0.5;0.9;3;0.0;0.2;0
2018-02-13 00:00;-0.1;-0.1;15.0;8.42;2.0540000000000003;29.999472996626302;17.45420833333334;1;2;-12.545264663292963;0;0.5;0.9;3;0.0;0.9;0
2018-02-14 00:00;-0.1;-0.1;15.0;8.592;2.47;31.49322386538176;18.042208333333328;1;2;-13.451015532048432;0;0.5;0.9;3;0.0;0.9;0
2018-02-15 00:00;-0.1;-0.09999999999999999;15.0;5.39;1.238;27.74538947580057;14.021402777777789;1;2;-13.723986698022783;0;0.5;0.9;3;0.0;0.3;0
2018-02-16 00:00;-0.1;-0.09999999999999999;15.0;6.915;0.664;31.205909800051447;14.559208333333348;1;2;-16.6467014667181;0;0.5;0.9;3;0.0;0.9;0
2018-02-17 00:00;-0.1;-0.1;15.0;8.488;0.688;26.257590481139914;16.08734259259259;1;2;-10.170247888547323;0;0.5;0.9;3;0.0;1.0;0
2018-02-18 00:00;-0.1;-0.1;15.0;7.587000000000001;1.817;30.942822464982967;16.315342592592593;1;2;-14.627479872390374;0;0.5;0.9;3;0.0;1.0;0
2018-02-19 00:00;-0.1;-0.1;15.0;7.401;1.0190000000000001;30.60688246454789;15.26247685185185;1;2;-15.34440561269604;0;0.5;0.9;3;0.0;1.1;0
2018-02-20 00:00;-0.1;-0.1;15.0;7.212999999999999;0.8740000000000001;28.282875070555548;14.929476851851852;1;2;-13.353398218703695;0;0.5;0.9;3;0.0;1.1;0
2018-02-21 00:00;-0.1;-0.1;15.0;9.902000000000001;-0.135;31.05250817872222;16.609476851851852;1;2;-14.443031326870369;0;0.5;0.9;3;0.0;1.1;0
2018-02-22 00:00;-0.1;-0.1;15.0;14.535;1.829;31.056073297646087;23.206476851851853;1;2;-7.849596445794233;0;0.5;0.9;3;0.0;1.1;0
2018-02-23 00:00;-0.1;-0.1;15.0;66.693;11.455;31.951474358409467;31.951474358409467;1;2;52.9012710119609;52.9012710119609;0.5;0.9;3;0.0;1.3;0
2018-02-24 00:00;-0.1;-0.10000000000000002;15.0;63.034;10.458;28.849923778333334;28.849923778333334;1;2;51.415687332777765;51.415687332777765;0.5;0.9;3;0.0;1.2;0
2018-02-25 00:00;-0.1;-0.10000000000000003;15.0;32.481;6.271;29.39660232111111;29.39660232111111;1;2;15.991277308518503;15.991277308518503;0.5;0.9;3;0.0;1.4;0
2018-02-26 00:00;-0.1;-0.1;15.0;24.406999999999996;4.353;29.26620042129629;29.26620042129629;1;2;6.439575041666672;6.439575041666672;0.5;0.9;3;0.05;1.0;0
2018-02-27 00:00;-0.1;-0.1;15.0;26.634;4.772;30.818766728057238;30.818766728057238;1;2;7.36084438305387;7.36084438305387;0.5;0.9;3;0.0;1.2;0
2018-02-28 00:00;-0.1;-0.1;15.0;45.461000000000006;8.123;30.96667367833164;30.96667367833164;1;2;32.28329854389058;32.28329854389058;0.5;0.9;3;4.3;1.3;0
2018-03-01 00:00;-0.1;-0.1;15.0;59.513000000000005;12.559000000000001;30.400283562572984;30.400283562572984;1;2;48.44532754853814;48.44532754853814;0.5;0.9;3;0.0;1.2;0
2018-03-02 00:00;-0.1;-0.10000000000000002;15.0;48.549;8.597000000000001;30.074596673497812;30.074596673497812;1;2;37.047271382057744;37.047271382057744;0.5;0.9;3;3.849999999999999;0.4;0
2018-03-03 00:00;-0.1;-0.10000000000000003;15.0;29.624000000000002;4.834;29.03830752907323;29.03830752907323;1;2;12.193303582037862;12.193303582037862;0.5;0.9;3;0.0;1.2;0
2018-03-04 00:00;-0.1;-0.10000000000000002;15.0;22.985;3.593;31.66373531649508;31.66373531649508;1;2;2.893026257578991;2.893026257578991;0.5;0.9;3;1.1500000000000001;0.6;0
2018-03-05 00:00;-0.1;-0.1;15.0;25.837;3.66;30.356111676990515;30.356111676990515;1;2;6.327693878565041;6.327693878565041;0.5;0.9;3;0.0;0.6;0
2018-03-06 00:00;-0.1;-0.1;15.0;32.691;4.184;28.641833230188627;28.641833230188627;1;2;15.729868158700267;15.729868158700267;0.5;0.9;3;0.6500000000000001;0.8;0
2018-03-07 00:00;-0.1;-0.09999999999999999;15.0;31.298000000000002;3.553;30.066558280142054;30.066558280142054;1;2;13.210830608746845;13.210830608746845;0.5;0.9;3;2.2;1.0;0
2018-03-08 00:00;-0.1;-0.1;15.0;35.6;6.602;25.861176968632275;25.861176968632275;1;2;24.629480438775136;24.629480438775136;0.5;0.9;3;2.0;1.0;0
2018-03-09 00:00;-0.1;-0.1;15.0;63.611999999999995;9.282;28.77241629614478;28.77241629614478;1;2;50.82632907422558;50.82632907422558;0.5;0.9;3;0.0;1.3;0
2018-03-10 00:00;-0.1;-0.09999999999999999;15.0;37.867;6.144;28.135208024540404;28.135208024540404;1;2;22.787134568052196;22.787134568052196;0.5;0.9;3;0.0;1.0;0
2018-03-11 00:00;-0.1;-0.1;15.0;24.494;4.029;27.04665003918519;27.04665003918519;1;2;13.82808607192592;13.82808607192592;0.5;0.9;3;7.199999999999998;0.3;0
2018-03-12 00:00;-0.1;-0.1;15.0;19.83;3.1839999999999997;24.058311893738974;24.058311893738974;1;2;6.073627921075838;6.073627921075838;0.5;0.9;3;0.2;0.9;0
2018-03-13 00:00;-0.1;-0.10000000000000002;15.0;16.426;1.7730000000000001;31.344546194575837;24.490550925925913;1;2;-6.853995268649926;0;0.5;0.9;3;0.0;1.9;0
2018-03-14 00:00;-0.1;-0.1;15.0;12.838;1.6869999999999998;31.258210308129634;20.74768518518519;1;2;-10.510525122944445;0;0.5;0.9;3;0.0;2.0;0
2018-03-15 00:00;-0.1;-0.1;15.0;12.059000000000001;1.585;9.715616199971512;9.715616199971512;1;2;10.151068985213675;10.151068985213675;0.5;0.9;3;0.0;2.0;0
2018-03-16 00:00;-0.1;-0.1;15.0;10.238;1.5759999999999998;10.255624489995038;10.255624489995038;1;2;7.781060695190147;7.781060695190147;0.5;0.9;3;0.0;2.0;0
2018-03-17 00:00;-0.1;-0.1;15.0;10.83;0.39;8.791302161459381;8.791302161459381;1;2;8.720248764466541;8.720248764466541;0.5;0.9;3;0.0;1.9;0
2018-03-18 00:00;-0.1;-0.1;15.0;23.255;1.9040000000000001;10.126196020399178;10.126196020399178;1;2;21.53095212774897;21.53095212774897;0.5;0.9;3;0.0;1.6;0
2018-03-19 00:00;-0.1;-0.1;15.0;30.654;3.12;9.778520911063787;9.778520911063787;1;2;30.14929853338065;30.14929853338065;0.5;0.9;3;0.0;2.1;0
2018-03-20 00:00;-0.1;-0.1;15.0;26.01;2.87;8.020102260555559;8.020102260555559;1;2;27.358045887592592;27.358045887592592;0.5;0.9;3;0.0;1.6;0
2018-03-21 00:00;-0.1;-0.1;15.0;30.221;3.997;9.235834882492878;9.235834882492878;1;2;31.27371604343305;31.27371604343305;0.5;0.9;3;0.0;1.9;0
2018-03-22 00:00;-0.1;-0.1;15.0;19.927;3.355;9.985598490692311;9.985598490692311;1;2;19.31248947227065;19.31248947227065;0.5;0.9;3;0.0;2.3;0
2018-03-23 00:00;-0.1;-0.1;15.0;17.442999999999998;3.478;8.810349089481482;8.810349089481482;1;2;18.05787313274074;18.05787313274074;0.5;0.9;3;0.0;2.4;0
2018-03-24 00:00;-0.1;-0.1;15.0;10.492;2.68;9.89358964827778;9.89358964827778;1;2;9.363364055425924;9.363364055425924;0.5;0.9;3;0.0;2.2;0
2018-03-25 00:00;-0.1;-0.1;15.0;13.432;2.7739999999999996;10.428551591703703;10.428551591703703;1;2;11.931267852740744;11.931267852740744;0.5;0.9;3;0.0;2.1;0
2018-03-26 00:00;-0.1;-0.1;15.0;10.175;2.144;10.286209145370373;10.286209145370373;1;2;8.048878817592593;8.048878817592593;0.5;0.9;3;0.0;2.3;0
2018-03-27 00:00;-0.1;-0.1;15.0;6.956;1.3130000000000002;10.090963031777775;10.090963031777775;1;2;4.331856412666669;4.331856412666669;0.5;0.9;3;0.0;2.1;0
2018-03-28 00:00;-0.1;-0.1;15.0;6.73;0.591;9.344956036074072;9.344956036074072;1;2;3.923266186148152;3.923266186148152;0.5;0.9;3;0.0;2.4;0
2018-03-29 00:00;-0.1;-0.1;15.0;7.555;0.364;9.13755316851235;9.13755316851235;1;2;5.761655164820984;5.761655164820984;0.5;0.9;3;0.0;0.9;0
2018-03-30 00:00;-0.1;-0.1;15.0;6.763999999999999;0.794;7.999157722820987;7.999157722820987;1;2;5.850393203104938;5.850393203104938;0.5;0.9;3;0.0;1.9;0
2018-03-31 00:00;-0.1;-0.1;15.0;6.7589999999999995;1.099;8.929056131111109;8.929056131111109;1;2;5.013897572592595;5.013897572592595;0.5;0.9;3;0.0;2.2;0
2018-04-01 00:00;-0.1;-0.09999999999999999;15.0;6.4;0.768;7.964225865148148;7.964225865148148;1;2;14.241274134851858;14.241274134851858;0.5;0.9;3;11.7;0.9;0
2018-04-02 00:00;-0.1;-0.09999999999999999;15.0;7.662999999999999;0.622;6.195519675925926;6.195519675925926;1;2;11.514422453703713;11.514422453703713;0.5;0.9;3;4.05;1.4;0
2018-04-03 00:00;-0.1;-0.1;15.0;4.739;0.578;8.797028264062678;8.797028264062678;1;2;3.396881458159542;3.396881458159542;0.5;0.9;3;0.6500000000000001;1.7;0
2018-04-04 00:00;-0.1;-0.1;15.0;4.952;0.5489999999999999;9.784882706122508;9.784882706122508;1;2;2.6963256272108227;2.6963256272108227;0.5;0.9;3;0.0;0.9;0
2018-04-05 00:00;-0.1;-0.1;15.0;4.776;-0.6779999999999999;9.040609272929627;9.040609272929627;1;2;1.0734786900333344;1.0734786900333344;0.5;0.9;3;0.0;2.3;0
2018-04-06 00:00;-0.1;-0.1;15.0;5.439;0.324;9.332151442093762;9.332151442093762;1;2;2.8601309653136466;2.8601309653136466;0.5;0.9;3;0.0;1.7;0
2018-04-07 00:00;-0.1;-0.1;15.0;4.44;0.07200000000000001;10.318279907402534;10.318279907402534;1;2;0.0032108333382083742;0.0032108333382083742;0.5;0.9;3;0.0;2.6;0
2018-04-08 00:00;-0.1;-0.1;15.0;4.883;0.64;8.782634358580248;8.782634358580248;1;2;2.6187221229012327;2.6187221229012327;0.5;0.9;3;0.0;2.5;0
2018-04-09 00:00;-0.1;-0.1;15.0;5.2379999999999995;1.544;10.065693049021606;10.065693049021606;1;2;3.0078578769043194;3.0078578769043194;0.5;0.9;3;0.0;1.9;0
2018-04-10 00:00;-0.1;-0.1;15.0;4.289;-0.946;9.947924126657409;9.947924126657409;1;2;0.5818814288981449;0.5818814288981449;0.5;0.9;3;1.2000000000000002;1.8;0
2018-04-11 00:00;-0.1;-0.1;15.0;4.891;0.183;8.589814244185185;8.589814244185185;1;2;3.3266626076666648;3.3266626076666648;0.5;0.9;3;0.0;1.1;0
2018-04-12 00:00;-0.1;-0.1;15.0;4.072;0.409;8.294409429777781;8.294409429777781;1;2;1.996081310962957;1.996081310962957;0.5;0.9;3;0.0;2.6;0
2018-04-13 00:00;-0.1;-0.1;15.0;5.472;-0.981;9.300452048111113;9.300452048111113;1;2;0.6557099889259228;0.6557099889259228;0.5;0.9;3;0.0;3.1;0
2018-04-14 00:00;-0.1;-0.10000000000000002;15.0;3.128;0.253;11.31873779906173;9.0;1;2;-2.610307243506182;0;0.5;0.9;3;0.0;3.3;0
2018-04-15 00:00;-0.1;-0.10042338823529413;15.0;4.831;-0.256;8.172903069571486;8.172903069571486;1;2;1.1624950785766537;1.1624950785766537;0.5;0.9;3;0.0;3.7;0
2018-04-16 00:00;-0.1;-0.09999999999999999;15.0;5.274;-0.722;8.945946602366785;8.945946602366785;1;2;0.6580209902258145;0.6580209902258145;0.5;0.9;3;0.0;3.7;0
2018-04-17 00:00;-0.1;-0.1;15.0;4.5889999999999995;-0.32299999999999995;8.19653070908876;8.19653070908876;1;2;1.1214368835038302;1.1214368835038302;0.5;0.9;3;0.0;3.7;0
2018-04-18 00:00;-0.1;-0.1;15.0;4.752;0.447;9.188789622157033;9.188789622157033;1;2;1.1999094519170383;1.1999094519170383;0.5;0.9;3;0.0;3.5;0
2018-04-19 00:00;-0.1;-0.1;15.0;2.5380000000000003;0.762;9.622549645087542;9.622549645087542;1;2;0.24446424380134557;0.24446424380134557;0.5;0.9;3;0.0;1.5;0
2018-04-20 00:00;-0.1;-0.1;15.0;3.0239999999999996;1.074;8.795578559370373;8.795578559370373;1;2;0.9741806998888867;0.9741806998888867;0.5;0.9;3;0.0;2.8;0
2018-04-21 00:00;-0.1;-0.1;15.0;3.582;-0.47200000000000003;7.7484551098333325;7.7484551098333325;1;2;1.205468501277777;1.205468501277777;0.5;0.9;3;0.45;3.0;0
2018-04-22 00:00;-0.1;-0.1;15.0;4.192;-0.505;8.565361903592597;8.565361903592597;1;2;0.31133717048147735;0.31133717048147735;0.5;0.9;3;0.0;3.5;0
2018-04-23 00:00;-0.1;-0.1;15.0;4.249;-0.354;9.920726634796296;9.084699074074075;1;2;-0.8360275607222207;0;0.5;0.9;3;0.0;3.5;0
2018-04-24 00:00;-0.1;-0.1;15.0;2.358;-0.039;9.687139456685182;9.0;1;2;-1.4209172344629613;0;0.5;0.9;3;0.4;2.8;0
2018-04-25 00:00;-0.1;-0.1010655193277311;15.0;4.128;-1.225;11.127673574401708;11.127673574401708;1;2;0.2254606848575471;0.2254606848575471;0.5;0.9;3;4.6;2.3;0
2018-04-26 00:00;-0.1;-0.1;15.0;2.7439999999999998;-0.203;8.642847399635329;8.642847399635329;1;2;10.009958155920229;10.009958155920229;0.5;0.9;3;13.250000000000002;0.89;0
2018-04-27 00:00;-0.1;-0.10000000000000002;15.0;2.19;-0.843;8.949240208962962;8.949240208962962;1;2;2.0292991428888825;2.0292991428888825;0.5;0.9;3;5.05;2.1;0
2018-04-28 00:00;-0.1;-0.1;15.0;3.408;-0.018000000000000002;9.01044787887037;9.01044787887037;1;2;1.1875961026111106;1.1875961026111106;0.5;0.9;3;1.1500000000000001;2.3;0
2018-04-29 00:00;-0.1;-0.1;15.0;2.9760000000000004;1.3630000000000002;7.945763522999999;7.945763522999999;1;2;2.6503545325555535;2.6503545325555535;0.5;0.9;3;1.7500000000000002;3.7;0
2018-04-30 00:00;-0.1;-0.1;15.0;2.105;2.296;10.027816749333338;10.027816749333338;1;2;1.5255559358518465;1.5255559358518465;0.5;0.9;3;0.55;1.2;0
