Scen_NR;I. Krammer-Volkerak Oost;II. Krammer-Volkerak Midden;III. Krammer-Volkerak Ingang Eendracht;IV. Krammer-Volkerak West ;V. Eendracht Noord;VI. Eendracht Zuid;VII. Zoommeer;VIII. Zoommeer Zuid;IX. Bathse Spuikanaal;X. Voorhaven Kramersluizen;Volkerak-Zoommeer
NR;m NAP;m NAP;m NAP;m NAP;m NAP;m NAP;m NAP;m NAP;m NAP;m NAP
1;0.08763726412205795;0.08763726412205863;0.08763726412205856;0.08763726412205824;0.08763726412205824;0.08763726412205824;0.08763726412205837;0.0876372641220577;0.08763726412205833;-0.1;0.08763726412205804
2;0.2097455236655106;0.20974552366551105;0.2097455236655107;0.2097455236655112;0.2097455236655112;0.2097455236655112;0.20974552366551055;0.2097455236655101;0.20974552366551075;-0.1;0.20974552366551105
3;0.08763726412205795;0.08763726412205863;0.08763726412205856;0.08763726412205824;0.08763726412205824;0.08763726412205824;0.08763726412205837;0.0876372641220577;0.08763726412205833;-0.1;0.08763726412205804
4;0.2097455236655106;0.20974552366551105;0.2097455236655107;0.2097455236655112;0.2097455236655112;0.2097455236655112;0.20974552366551055;0.2097455236655101;0.20974552366551075;-0.1;0.20974552366551105
5;0.08763726412205795;0.08763726412205863;0.08763726412205856;0.08763726412205824;0.08763726412205824;0.08763726412205824;0.08763726412205837;0.0876372641220577;0.08763726412205833;-0.1;0.08763726412205804
6;0.2097455236655106;0.20974552366551105;0.2097455236655107;0.2097455236655112;0.2097455236655112;0.2097455236655112;0.20974552366551055;0.2097455236655101;0.20974552366551075;-0.1;0.20974552366551105
7;0.08763726412205795;0.08763726412205863;0.08763726412205856;0.08763726412205824;0.08763726412205824;0.08763726412205824;0.08763726412205837;0.0876372641220577;0.08763726412205833;-0.1;0.08763726412205804
8;0.2097455236655106;0.20974552366551105;0.2097455236655107;0.2097455236655112;0.2097455236655112;0.2097455236655112;0.20974552366551055;0.2097455236655101;0.20974552366551075;-0.1;0.20974552366551105
9;0.10627383266558946;0.10627383266558964;0.106273832665589;0.10627383266558924;0.10627383266558818;0.10627383266558818;0.10627383266558717;0.10627383266559019;0.10627383266558994;-0.1;0.1062738326655896
10;0.22137561916234097;0.22137561916234158;0.22137561916233944;0.2213756191623413;0.22137561916234025;0.22137561916234025;0.22137561916234214;0.22137561916234122;0.22137561916234097;-0.1;0.2213756191623406
11;0.10627383266558946;0.10627383266558964;0.106273832665589;0.10627383266558924;0.10627383266558818;0.10627383266558818;0.10627383266558717;0.10627383266559019;0.10627383266558994;-0.1;0.1062738326655896
12;0.22137561916234097;0.22137561916234158;0.22137561916233944;0.2213756191623413;0.22137561916234025;0.22137561916234025;0.22137561916234214;0.22137561916234122;0.22137561916234097;-0.1;0.2213756191623406
13;0.10627383266558946;0.10627383266558964;0.106273832665589;0.10627383266558924;0.10627383266558818;0.10627383266558818;0.10627383266558717;0.10627383266559019;0.10627383266558994;-0.1;0.1062738326655896
14;0.22137561916234097;0.22137561916234158;0.22137561916233944;0.2213756191623413;0.22137561916234025;0.22137561916234025;0.22137561916234214;0.22137561916234122;0.22137561916234097;-0.1;0.2213756191623406
15;0.10627383266558946;0.10627383266558964;0.106273832665589;0.10627383266558924;0.10627383266558818;0.10627383266558818;0.10627383266558717;0.10627383266559019;0.10627383266558994;-0.1;0.1062738326655896
16;0.22137561916234097;0.22137561916234158;0.22137561916233944;0.2213756191623413;0.22137561916234025;0.22137561916234025;0.22137561916234214;0.22137561916234122;0.22137561916234097;-0.1;0.2213756191623406
17;-0.03811589950212339;-0.038115899502123705;-0.038115899502123775;-0.03811589950212411;-0.03811589950212304;-0.03811589950212304;-0.0381158995021231;-0.03811589950212389;-0.03811589950212402;-0.1;-0.03811589950212405
18;0.1;0.1;0.1;0.1;0.1;0.1;0.1;0.1;0.09999999999999938;-0.1;0.10000000000000002
19;-0.03811589950212339;-0.038115899502123705;-0.038115899502123775;-0.03811589950212411;-0.03811589950212304;-0.03811589950212304;-0.0381158995021231;-0.03811589950212389;-0.03811589950212402;-0.1;-0.03811589950212405
20;0.1;0.1;0.1;0.1;0.1;0.1;0.1;0.1;0.09999999999999938;-0.1;0.10000000000000002
21;-0.03811589950212339;-0.038115899502123705;-0.038115899502123775;-0.03811589950212411;-0.03811589950212304;-0.03811589950212304;-0.0381158995021231;-0.03811589950212389;-0.03811589950212402;-0.1;-0.03811589950212405
22;0.1;0.1;0.1;0.1;0.1;0.1;0.1;0.1;0.09999999999999938;-0.1;0.10000000000000002
23;-0.03811589950212339;-0.038115899502123705;-0.038115899502123775;-0.03811589950212411;-0.03811589950212304;-0.03811589950212304;-0.0381158995021231;-0.03811589950212389;-0.03811589950212402;-0.1;-0.03811589950212405
24;0.1;0.1;0.1;0.1;0.1;0.1;0.1;0.1;0.09999999999999938;-0.1;0.10000000000000002
25;-0.02181455541479389;-0.021814555414794014;-0.021814555414793584;-0.021814555414793747;-0.021814555414792682;-0.021814555414792682;-0.021814555414794122;-0.02181455541479364;-0.021814555414794014;-0.1;-0.021814555414794358
26;0.1;0.1;0.1;0.1;0.1;0.1;0.1;0.1;0.09999999999999938;-0.1;0.10000000000000002
27;-0.02181455541479389;-0.021814555414794014;-0.021814555414793584;-0.021814555414793747;-0.021814555414792682;-0.021814555414792682;-0.021814555414794122;-0.02181455541479364;-0.021814555414794014;-0.1;-0.021814555414794358
28;0.1;0.1;0.1;0.1;0.1;0.1;0.1;0.1;0.09999999999999938;-0.1;0.10000000000000002
