DEZE GEGEVENS MOGEN VRIJ WORDEN GEBRUIKT MITS DE VOLGENDE BRONVERMELDING WORDT GEGEVEN:
KONINKLIJK NEDERLANDS METEOROLOGISCH INSTITUUT (KNMI)

THESE DATA CAN BE USED FREELY PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED:
ROYAL NETHERLANDS METEOROLOGICAL INSTITUTE

STN      = stationsnummer/stationnumber
YYYYMMDD = datum/date (YYYY=jaar/year MM=maand/month DD=dag/day)
RD       = 24-uur som van de neerslag in tiende millimeters van 08.00 voorafgaande dag- 08.00 UTC huidige dag/
           daily precipitation amount in 0.1 mm over the period 08.00 preceding day - 08.00 UTC present day
SX       = codecijfer sneeuwdek om 08.00 uur UTC/code for the snow cover at 08.00 UTC:

           codecijfer/code    sneeuwdikte/snow cover
           1                                    1 cm
           ...                                   ...
           996                                996 cm

           997 gebroken sneeuwdek/broken snow cover < 1 cm
           998 gebroken sneeuwdek/broken snow cover >=1 cm
           999 sneeuwhopen/snow dunes

5 spaties betekent een ontbrekende waarde/5 spaces represents a missing value

STN,YYYYMMDD,   RD,   SX,
757,19510722,    0,     ,
757,19510723,   70,     ,
757,19510724,    0,     ,
757,19510725,   50,     ,
757,19510726,    0,     ,
757,19510727,    0,     ,
757,19510728,    0,     ,
757,19510729,    0,     ,
757,19510730,    0,     ,
757,19510731,    0,     ,
757,19510801,   98,     ,
757,19510802,    8,     ,
757,19510803,    0,     ,
757,19510804,   71,     ,
757,19510805,   84,     ,
757,19510806,   10,     ,
757,19510807,    0,     ,
757,19510808,    0,     ,
757,19510809,  180,     ,
757,19510810,   13,     ,
757,19510811,    0,     ,
757,19510812,   75,     ,
757,19510813,   68,     ,
757,19510814,   11,     ,
757,19510815,   52,     ,
757,19510816,    0,     ,
757,19510817,    0,     ,
757,19510818,  145,     ,
757,19510819,    0,     ,
757,19510820,   34,     ,
757,19510821,    0,     ,
757,19510822,    0,     ,
757,19510823,    6,     ,
757,19510824,    0,     ,
757,19510825,    0,     ,
757,19510826,    0,     ,
757,19510827,   22,     ,
757,19510828,   50,     ,
757,19510829,   31,     ,
757,19510830,   40,     ,
757,19510831,  106,     ,
757,19510901,   30,     ,
757,19510902,  152,     ,
757,19510903,   34,     ,
757,19510904,    0,     ,
757,19510905,    0,     ,
757,19510906,    0,     ,
757,19510907,    0,     ,
757,19510908,    0,     ,
757,19510909,    0,     ,
757,19510910,    0,     ,
757,19510911,   34,     ,
757,19510912,    0,     ,
757,19510913,   80,     ,
757,19510914,   60,     ,
757,19510915,    0,     ,
757,19510916,   19,     ,
757,19510917,   58,     ,
757,19510918,    0,     ,
757,19510919,    0,     ,
757,19510920,   58,     ,
757,19510921,    0,     ,
757,19510922,    0,     ,
757,19510923,    0,     ,
757,19510924,   40,     ,
757,19510925,    0,     ,
757,19510926,   20,     ,
757,19510927,   42,     ,
757,19510928,    0,     ,
757,19510929,    0,     ,
757,19510930,    0,     ,
757,19511001,    0,     ,
757,19511002,    0,     ,
757,19511003,    0,     ,
757,19511004,    0,     ,
757,19511005,    0,     ,
757,19511006,    0,     ,
757,19511007,    0,     ,
757,19511008,    0,     ,
757,19511009,    0,     ,
757,19511010,    0,     ,
757,19511011,    0,     ,
757,19511012,    0,     ,
757,19511013,    0,     ,
757,19511014,    0,     ,
757,19511015,    0,     ,
757,19511016,    0,     ,
757,19511017,    0,     ,
757,19511018,    5,     ,
757,19511019,    0,     ,
757,19511020,    0,     ,
757,19511021,    0,     ,
757,19511022,   27,     ,
757,19511023,    0,     ,
757,19511024,    0,     ,
757,19511025,    0,     ,
757,19511026,    0,     ,
757,19511027,    0,     ,
757,19511028,    0,     ,
757,19511029,   12,     ,
757,19511030,   12,     ,
757,19511031,   38,     ,
757,19511101,   30,     ,
757,19511102,    6,     ,
757,19511103,   45,     ,
757,19511104,    0,     ,
757,19511105,    0,     ,
757,19511106,    0,     ,
757,19511107,   35,     ,
757,19511108,   15,     ,
757,19511109,    0,     ,
757,19511110,    0,     ,
757,19511111,   69,     ,
757,19511112,    0,     ,
757,19511113,    0,     ,
757,19511114,  130,     ,
757,19511115,    0,     ,
757,19511116,   21,     ,
757,19511117,   74,     ,
757,19511118,    0,     ,
757,19511119,    4,     ,
757,19511120,    0,     ,
757,19511121,  150,     ,
757,19511122,  105,     ,
757,19511123,   43,     ,
757,19511124,   25,     ,
757,19511125,  138,     ,
757,19511126,   15,     ,
757,19511127,    0,     ,
757,19511128,    0,     ,
757,19511129,   28,     ,
757,19511130,   18,     ,
757,19511201,    0,     ,
757,19511202,    0,     ,
757,19511203,    0,     ,
757,19511204,   14,     ,
757,19511205,    0,     ,
757,19511206,    0,     ,
757,19511207,   65,     ,
757,19511208,    0,     ,
757,19511209,   25,     ,
757,19511210,    0,     ,
757,19511211,   26,     ,
757,19511212,    0,     ,
757,19511213,    0,     ,
757,19511214,    0,     ,
757,19511215,    0,     ,
757,19511216,    0,     ,
757,19511217,    0,     ,
757,19511218,    0,     ,
757,19511219,    0,     ,
757,19511220,    0,     ,
757,19511221,    8,     ,
757,19511222,    0,     ,
757,19511223,    7,     ,
757,19511224,    0,     ,
757,19511225,   60,     ,
757,19511226,   50,     ,
757,19511227,  125,     ,
757,19511228,   40,     ,
757,19511229,   60,     ,
757,19511230,    8,     ,
