Tijdstip;Q [m3/s];kg CL / s
31-12-2017 00:00;13.7033;0
1-1-2018 00:00;18.3469;0
2-1-2018 00:00;15.2932;0
3-1-2018 00:00;14.3936;0
4-1-2018 00:00;10.6262;0
5-1-2018 00:00;9.1052;0
6-1-2018 00:00;6.1568;0
7-1-2018 00:00;4.2601;0
8-1-2018 00:00;2.5129;0
9-1-2018 00:00;1.3533;0
10-1-2018 00:00;2.5701;0
11-1-2018 00:00;3.4892;0
12-1-2018 00:00;2.626;0
13-1-2018 00:00;2.5844;0
14-1-2018 00:00;2.4479;0
15-1-2018 00:00;4.1899;0
16-1-2018 00:00;6.9693;0
17-1-2018 00:00;5.4158;0
18-1-2018 00:00;6.7639;0
19-1-2018 00:00;7.6492;0
20-1-2018 00:00;7.2696;0
21-1-2018 00:00;5.2117;0
22-1-2018 00:00;7.137;0
23-1-2018 00:00;6.1399;0
24-1-2018 00:00;4.8308;0
25-1-2018 00:00;5.4691;0
26-1-2018 00:00;2.9913;0
27-1-2018 00:00;3.2227;0
28-1-2018 00:00;1.5275;0
29-1-2018 00:00;1.0543;0
30-1-2018 00:00;2.9159;0
31-1-2018 00:00;4.2081;0
1-2-2018 00:00;5.4132;0
2-2-2018 00:00;5.4132;0
3-2-2018 00:00;5.4132;0
4-2-2018 00:00;6.6183;0
5-2-2018 00:00;3.1005;0
6-2-2018 00:00;2.7716;0
7-2-2018 00:00;2.0319;0
8-2-2018 00:00;2.3153;0
9-2-2018 00:00;2.106;0
10-2-2018 00:00;1.4781;0
11-2-2018 00:00;2.2906;0
12-2-2018 00:00;1.1115;0
13-2-2018 00:00;2.7521;0
14-2-2018 00:00;2.6702;0
15-2-2018 00:00;2.8249;0
16-2-2018 00:00;1.8668;0
17-2-2018 00:00;1.8733;0
18-2-2018 00:00;1.7004;0
19-2-2018 00:00;2.0514;0
20-2-2018 00:00;1.5418;0
21-2-2018 00:00;1.7134;0
22-2-2018 00:00;1.6341;0
23-2-2018 00:00;1.4443;0
24-2-2018 00:00;1.7095;0
25-2-2018 00:00;1.6887;0
26-2-2018 00:00;0.4238;0
27-2-2018 00:00;-0.251;0
28-2-2018 00:00;-1.163;0
1-3-2018 00:00;-3.246;0
2-3-2018 00:00;-2.631;0
3-3-2018 00:00;-0.514;0
4-3-2018 00:00;1.3637;0
5-3-2018 00:00;0.7644;0
6-3-2018 00:00;0.9477;0
7-3-2018 00:00;0.7488;0
8-3-2018 00:00;-0.343;0
9-3-2018 00:00;3.5386;0
10-3-2018 00:00;4.1756;0
11-3-2018 00:00;10.0542;0
12-3-2018 00:00;9.3899;0
13-3-2018 00:00;10.4754;0
14-3-2018 00:00;10.1049;0
15-3-2018 00:00;9.1936;0
16-3-2018 00:00;8.7438;0
17-3-2018 00:00;6.5585;0
18-3-2018 00:00;2.7963;0
19-3-2018 00:00;2.6299;0
