Tijdstip;Q [m3/s];kg CL / s
31-12-2016 00:00;7.71676;0
1-1-2017 00:00;7.71676;0
2-1-2017 00:00;7.71676;0
3-1-2017 00:00;7.71676;0
4-1-2017 00:00;7.71676;0
5-1-2017 00:00;7.71676;0
6-1-2017 00:00;7.71676;0
7-1-2017 00:00;7.71676;0
8-1-2017 00:00;7.71676;0
9-1-2017 00:00;7.71676;0
10-1-2017 00:00;7.71676;0
11-1-2017 00:00;17.68201;0
12-1-2017 00:00;18.75424;0
13-1-2017 00:00;69.99056;0
14-1-2017 00:00;77.95967;0
15-1-2017 00:00;49.51004;0
16-1-2017 00:00;33.94365;0
17-1-2017 00:00;20.27761;0
18-1-2017 00:00;17.29473;0
19-1-2017 00:00;13.80303;0
20-1-2017 00:00;13.00375;0
21-1-2017 00:00;10.58634;0
22-1-2017 00:00;8.6108;0
23-1-2017 00:00;7.43969;0
24-1-2017 00:00;7.3645;0
25-1-2017 00:00;8.24;0
26-1-2017 00:00;7.16983;0
27-1-2017 00:00;7.33257;0
28-1-2017 00:00;7.21927;0
29-1-2017 00:00;7.57462;0
30-1-2017 00:00;17.54296;0
31-1-2017 00:00;16.98264;0
1-2-2017 00:00;13.50845;0
2-2-2017 00:00;12.73286;0
3-2-2017 00:00;11.53909;0
4-2-2017 00:00;10.38549;0
5-2-2017 00:00;15.13173;0
6-2-2017 00:00;13.7299;0
7-2-2017 00:00;11.36296;0
8-2-2017 00:00;12.04276;0
9-2-2017 00:00;11.68226;0
10-2-2017 00:00;8.68393;0
11-2-2017 00:00;10.30824;0
12-2-2017 00:00;10.87474;0
13-2-2017 00:00;8.6726;0
14-2-2017 00:00;8.84976;0
15-2-2017 00:00;5.5517;0
16-2-2017 00:00;7.12245;0
17-2-2017 00:00;8.74264;0
18-2-2017 00:00;7.81461;0
19-2-2017 00:00;7.62303;0
20-2-2017 00:00;7.42939;0
21-2-2017 00:00;10.19906;0
22-2-2017 00:00;14.97105;0
23-2-2017 00:00;68.69379;0
24-2-2017 00:00;64.92502;0
25-2-2017 00:00;33.45543;0
26-2-2017 00:00;25.13921;0
27-2-2017 00:00;27.43302;0
28-2-2017 00:00;46.82483;0
1-3-2017 00:00;61.29839;0
2-3-2017 00:00;50.00547;0
3-3-2017 00:00;30.51272;0
4-3-2017 00:00;23.67455;0
5-3-2017 00:00;26.61211;0
6-3-2017 00:00;33.67173;0
7-3-2017 00:00;32.23694;0
8-3-2017 00:00;36.668;0
9-3-2017 00:00;65.52036;0
10-3-2017 00:00;39.00301;0
11-3-2017 00:00;25.22882;0
12-3-2017 00:00;20.4249;0
13-3-2017 00:00;16.91878;0
14-3-2017 00:00;13.22314;0
15-3-2017 00:00;12.42077;0
16-3-2017 00:00;10.54514;0
17-3-2017 00:00;11.1549;0
18-3-2017 00:00;23.95265;0
19-3-2017 00:00;31.57362;0
20-3-2017 00:00;26.7903;0
21-3-2017 00:00;31.73205;0
22-3-2017 00:00;20.92335;0
23-3-2017 00:00;18.31515;0
24-3-2017 00:00;11.0166;0
25-3-2017 00:00;14.1036;0
26-3-2017 00:00;10.68375;0
27-3-2017 00:00;7.3038;0
28-3-2017 00:00;7.0665;0
29-3-2017 00:00;7.93275;0
30-3-2017 00:00;7.1022;0
31-3-2017 00:00;7.09695;0
1-4-2017 00:00;8.22;0
2-4-2017 00:00;9.54615;0
3-4-2017 00:00;6.47595;0
4-4-2017 00:00;6.6996;0
5-4-2017 00:00;6.5148;0
6-4-2017 00:00;7.21095;0
7-4-2017 00:00;6.162;0
8-4-2017 00:00;6.62715;0
9-4-2017 00:00;6.9999;0
10-4-2017 00:00;6.00345;0
11-4-2017 00:00;6.63555;0
12-4-2017 00:00;5.7756;0
13-4-2017 00:00;7.2456;0
14-4-2017 00:00;4.7844;0
15-4-2017 00:00;6.57255;0
16-4-2017 00:00;7.0377;0
17-4-2017 00:00;6.31845;0
18-4-2017 00:00;6.4896;0
19-4-2017 00:00;4.1649;0
20-4-2017 00:00;4.6752;0
21-4-2017 00:00;5.2611;0
22-4-2017 00:00;5.9016;0
23-4-2017 00:00;5.96145;0
24-4-2017 00:00;3.9759;0
25-4-2017 00:00;5.8344;0
26-4-2017 00:00;4.3812;0
27-4-2017 00:00;3.7995;0
28-4-2017 00:00;5.0784;0
29-4-2017 00:00;4.6248;0
30-4-2017 00:00;3.71025;0
1-5-2017 00:00;2.0985;0
2-5-2017 00:00;4.2867;0
3-5-2017 00:00;4.95135;0
4-5-2017 00:00;5.24325;0
5-5-2017 00:00;3.9738;0
6-5-2017 00:00;3.8499;0
7-5-2017 00:00;4.7277;0
8-5-2017 00:00;3.27555;0
9-5-2017 00:00;3.65565;0
10-5-2017 00:00;4.5849;0
11-5-2017 00:00;3.64725;0
12-5-2017 00:00;4.3539;0
13-5-2017 00:00;7.24455;0
14-5-2017 00:00;4.18905;0
15-5-2017 00:00;3.30495;0
16-5-2017 00:00;-3.356;0
17-5-2017 00:00;4.66365;0
18-5-2017 00:00;9.1272;0
19-5-2017 00:00;5.742;0
20-5-2017 00:00;5.3598;0
21-5-2017 00:00;2.6025;0
22-5-2017 00:00;2.88915;0
23-5-2017 00:00;5.58555;0
24-5-2017 00:00;4.3203;0
25-5-2017 00:00;9.07575;0
26-5-2017 00:00;7.1553;0
27-5-2017 00:00;6.4161;0
28-5-2017 00:00;10.59615;0
29-5-2017 00:00;7.8441;0
30-5-2017 00:00;7.44615;0
31-5-2017 00:00;9.2868;0
1-6-2017 00:00;7.70445;0
2-6-2017 00:00;6.33;0
3-6-2017 00:00;6.32685;0
4-6-2017 00:00;8.16645;0
5-6-2017 00:00;7.16685;0
6-6-2017 00:00;4.02315;0
7-6-2017 00:00;8.76285;0
8-6-2017 00:00;8.33445;0
9-6-2017 00:00;2.2938;0
10-6-2017 00:00;6.84765;0
11-6-2017 00:00;3.26715;0
12-6-2017 00:00;5.62965;0
13-6-2017 00:00;5.9163;0
14-6-2017 00:00;3.5454;0
15-6-2017 00:00;1.542;0
16-6-2017 00:00;7.15635;0
17-6-2017 00:00;5.95725;0
18-6-2017 00:00;5.8344;0
19-6-2017 00:00;3.6966;0
20-6-2017 00:00;3.7533;0
21-6-2017 00:00;1.404;0
22-6-2017 00:00;1.449;0
23-6-2017 00:00;1.496;0
24-6-2017 00:00;1.437;0
25-6-2017 00:00;1.461;0
26-6-2017 00:00;5.51273;0
27-6-2017 00:00;5.29962;0
28-6-2017 00:00;5.94299;0
29-6-2017 00:00;6.58737;0
30-6-2017 00:00;6.05207;0
1-7-2017 00:00;7.66802;0
2-7-2017 00:00;7.30644;0
3-7-2017 00:00;2.80487;0
4-7-2017 00:00;4.71781;0
5-7-2017 00:00;3.12908;0
6-7-2017 00:00;5.08848;0
7-7-2017 00:00;7.95082;0
8-7-2017 00:00;8.27402;0
9-7-2017 00:00;6.60449;0
10-7-2017 00:00;5.04101;0
11-7-2017 00:00;5.93284;0
12-7-2017 00:00;22.58168;0
13-7-2017 00:00;16.8671;0
14-7-2017 00:00;6.96607;0
15-7-2017 00:00;6.16615;0
16-7-2017 00:00;4.636;0
17-7-2017 00:00;3.87951;0
18-7-2017 00:00;5.28644;0
19-7-2017 00:00;3.38966;0
20-7-2017 00:00;4.60873;0
21-7-2017 00:00;6.73579;0
22-7-2017 00:00;5.37027;0
23-7-2017 00:00;6.10757;0
24-7-2017 00:00;8.95981;0
25-7-2017 00:00;6.36512;0
26-7-2017 00:00;2.37461;0
27-7-2017 00:00;3.16039;0
28-7-2017 00:00;2.59681;0
29-7-2017 00:00;6.39037;0
30-7-2017 00:00;5.38845;0
31-7-2017 00:00;6.11868;0
1-8-2017 00:00;4.3734;0
2-8-2017 00:00;3.05434;0
3-8-2017 00:00;3.62499;0
4-8-2017 00:00;8.25988;0
5-8-2017 00:00;8.98809;0
6-8-2017 00:00;9.99102;0
7-8-2017 00:00;7.49632;0
8-8-2017 00:00;4.79659;0
9-8-2017 00:00;4.96324;0
10-8-2017 00:00;5.84396;0
11-8-2017 00:00;6.35805;0
12-8-2017 00:00;6.12777;0
13-8-2017 00:00;6.53278;0
14-8-2017 00:00;4.34108;0
15-8-2017 00:00;4.70367;0
16-8-2017 00:00;4.44511;0
17-8-2017 00:00;5.03899;0
18-8-2017 00:00;5.33088;0
19-8-2017 00:00;7.33977;0
20-8-2017 00:00;7.44178;0
21-8-2017 00:00;5.88335;0
22-8-2017 00:00;4.08151;0
23-8-2017 00:00;2.9291;0
24-8-2017 00:00;6.25705;0
25-8-2017 00:00;5.69347;0
26-8-2017 00:00;5.08848;0
27-8-2017 00:00;6.46006;0
28-8-2017 00:00;4.63802;0
29-8-2017 00:00;5.23291;0
30-8-2017 00:00;5.94597;0
31-8-2017 00:00;9.40724;0
1-9-2017 00:00;7.18221;0
2-9-2017 00:00;5.97526;0
3-9-2017 00:00;4.77134;0
4-9-2017 00:00;2.67256;0
5-9-2017 00:00;4.42592;0
6-9-2017 00:00;5.86416;0
7-9-2017 00:00;5.92173;0
8-9-2017 00:00;4.3734;0
9-9-2017 00:00;11.1808;0
10-9-2017 00:00;7.68923;0
11-9-2017 00:00;5.53389;0
12-9-2017 00:00;8.30634;0
13-9-2017 00:00;8.84467;0
14-9-2017 00:00;27.04992;0
15-9-2017 00:00;55.30568;0
16-9-2017 00:00;30.96064;0
17-9-2017 00:00;17.6448;0
18-9-2017 00:00;11.24544;0
19-9-2017 00:00;11.51612;0
20-9-2017 00:00;8.98506;0
21-9-2017 00:00;6.31255;0
22-9-2017 00:00;7.04443;0
23-9-2017 00:00;6.10818;0
24-9-2017 00:00;6.05254;0
25-9-2017 00:00;4.70969;0
26-9-2017 00:00;4.24103;0
27-9-2017 00:00;4.80706;0
28-9-2017 00:00;3.80126;0
29-9-2017 00:00;5.06707;0
30-9-2017 00:00;6.1788;0
1-10-2017 00:00;3.32663;0
2-10-2017 00:00;2.54981;0
3-10-2017 00:00;4.37523;0
4-10-2017 00:00;2.77986;0
5-10-2017 00:00;7.54457;0
6-10-2017 00:00;8.11167;0
7-10-2017 00:00;7.50926;0
8-10-2017 00:00;15.77287;0
9-10-2017 00:00;11.83634;0
10-10-2017 00:00;7.64943;0
11-10-2017 00:00;6.67787;0
12-10-2017 00:00;6.4628;0
13-10-2017 00:00;4.88776;0
14-10-2017 00:00;4.88241;0
15-10-2017 00:00;4.22115;0
16-10-2017 00:00;2.31441;0
17-10-2017 00:00;3.87019;0
18-10-2017 00:00;3.32021;0
19-10-2017 00:00;3.46252;0
20-10-2017 00:00;3.03024;0
21-10-2017 00:00;4.52503;0
22-10-2017 00:00;7.13048;0
23-10-2017 00:00;10.68609;0
24-10-2017 00:00;8.54395;0
25-10-2017 00:00;-2.684;0
26-10-2017 00:00;5.49445;0
27-10-2017 00:00;5.26654;0
28-10-2017 00:00;4.2158;0
29-10-2017 00:00;10.18747;0
30-10-2017 00:00;5.01295;0
31-10-2017 00:00;4.08847;0
1-11-2017 00:00;3.76212;0
2-11-2017 00:00;4.09382;0
3-11-2017 00:00;2.91682;0
4-11-2017 00:00;3.33091;0
5-11-2017 00:00;7.84417;0
6-11-2017 00:00;7.39156;0
7-11-2017 00:00;6.13966;0
8-11-2017 00:00;5.56507;0
9-11-2017 00:00;4.70051;0
10-11-2017 00:00;5.74911;0
11-11-2017 00:00;6.5805;0
12-11-2017 00:00;8.41983;0
13-11-2017 00:00;12.12845;0
14-11-2017 00:00;9.71667;0
15-11-2017 00:00;7.91479;0
16-11-2017 00:00;6.02089;0
17-11-2017 00:00;6.42642;0
18-11-2017 00:00;7.39477;0
19-11-2017 00:00;9.01903;0
20-11-2017 00:00;6.53984;0
21-11-2017 00:00;12.5083;0
22-11-2017 00:00;11.77;0
23-11-2017 00:00;9.37962;0
24-11-2017 00:00;10.83161;0
25-11-2017 00:00;10.20138;0
26-11-2017 00:00;11.98293;0
27-11-2017 00:00;17.84118;0
28-11-2017 00:00;35.46301;0
29-11-2017 00:00;23.37629;0
30-11-2017 00:00;17.75558;0
1-12-2017 00:00;19.49005;0
2-12-2017 00:00;16.77225;0
3-12-2017 00:00;12.82609;0
4-12-2017 00:00;10.99853;0
5-12-2017 00:00;9.65461;0
6-12-2017 00:00;9.48876;0
7-12-2017 00:00;11.00602;0
8-12-2017 00:00;16.73908;0
9-12-2017 00:00;16.63422;0
10-12-2017 00:00;18.93258;0
11-12-2017 00:00;45.54776;0
12-12-2017 00:00;30.62661;0
13-12-2017 00:00;44.25092;0
14-12-2017 00:00;93.68064;0
15-12-2017 00:00;70.08072;0
16-12-2017 00:00;40.20418;0
17-12-2017 00:00;38.37662;0
18-12-2017 00:00;41.49995;0
19-12-2017 00:00;30.62875;0
20-12-2017 00:00;21.5926;0
21-12-2017 00:00;20.23744;0
22-12-2017 00:00;20.52172;0
23-12-2017 00:00;20.30439;0
24-12-2017 00:00;17.48013;0
25-12-2017 00:00;15.02564;0
26-12-2017 00:00;13.90294;0
27-12-2017 00:00;14.7805;0
28-12-2017 00:00;14.31494;0
29-12-2017 00:00;10.43081;0
30-12-2017 00:00;14.59819;0
31-12-2017 00:00;27.09827;0
1-1-2018 00:00;38.75375;0
