Tijdstip;Q [m3/s];kg CL / s
31-12-2016 00:00;9.7396;0
1-1-2017 00:00;9.7396;0
2-1-2017 00:00;9.7396;0
3-1-2017 00:00;9.7396;0
4-1-2017 00:00;9.7396;0
5-1-2017 00:00;9.7396;0
6-1-2017 00:00;9.7396;0
7-1-2017 00:00;9.7396;0
8-1-2017 00:00;9.7396;0
9-1-2017 00:00;9.7396;0
10-1-2017 00:00;9.7396;0
11-1-2017 00:00;22.3171;0
12-1-2017 00:00;23.6704;0
13-1-2017 00:00;88.3376;0
14-1-2017 00:00;98.3957;0
15-1-2017 00:00;62.4884;0
16-1-2017 00:00;42.8415;0
17-1-2017 00:00;25.5931;0
18-1-2017 00:00;21.8283;0
19-1-2017 00:00;17.4213;0
20-1-2017 00:00;16.4125;0
21-1-2017 00:00;13.3614;0
22-1-2017 00:00;10.868;0
23-1-2017 00:00;9.3899;0
24-1-2017 00:00;9.295;0
25-1-2017 00:00;10.4;0
26-1-2017 00:00;9.0493;0
27-1-2017 00:00;9.2547;0
28-1-2017 00:00;9.1117;0
29-1-2017 00:00;9.5602;0
30-1-2017 00:00;22.1416;0
31-1-2017 00:00;21.4344;0
1-2-2017 00:00;17.0495;0
2-2-2017 00:00;16.0706;0
3-2-2017 00:00;14.5639;0
4-2-2017 00:00;13.1079;0
5-2-2017 00:00;19.0983;0
6-2-2017 00:00;17.329;0
7-2-2017 00:00;14.3416;0
8-2-2017 00:00;15.1996;0
9-2-2017 00:00;14.7446;0
10-2-2017 00:00;10.9603;0
11-2-2017 00:00;13.0104;0
12-2-2017 00:00;13.7254;0
13-2-2017 00:00;10.946;0
14-2-2017 00:00;11.1696;0
15-2-2017 00:00;7.007;0
16-2-2017 00:00;8.9895;0
17-2-2017 00:00;11.0344;0
18-2-2017 00:00;9.8631;0
19-2-2017 00:00;9.6213;0
20-2-2017 00:00;9.3769;0
21-2-2017 00:00;12.8726;0
22-2-2017 00:00;18.8955;0
23-2-2017 00:00;86.7009;0
24-2-2017 00:00;81.9442;0
25-2-2017 00:00;42.2253;0
26-2-2017 00:00;31.7291;0
27-2-2017 00:00;34.6242;0
28-2-2017 00:00;59.0993;0
1-3-2017 00:00;77.3669;0
2-3-2017 00:00;63.1137;0
3-3-2017 00:00;38.5112;0
4-3-2017 00:00;29.8805;0
5-3-2017 00:00;33.5881;0
6-3-2017 00:00;42.4983;0
7-3-2017 00:00;40.6874;0
8-3-2017 00:00;46.28;0
9-3-2017 00:00;82.6956;0
10-3-2017 00:00;49.2271;0
11-3-2017 00:00;31.8422;0
12-3-2017 00:00;25.779;0
13-3-2017 00:00;21.3538;0
14-3-2017 00:00;16.6894;0
15-3-2017 00:00;15.6767;0
16-3-2017 00:00;13.3094;0
17-3-2017 00:00;14.079;0
18-3-2017 00:00;30.2315;0
19-3-2017 00:00;39.8502;0
20-3-2017 00:00;33.813;0
21-3-2017 00:00;33.84752;0
22-3-2017 00:00;22.31824;0
23-3-2017 00:00;19.53616;0
24-3-2017 00:00;11.75104;0
25-3-2017 00:00;15.04384;0
26-3-2017 00:00;11.396;0
27-3-2017 00:00;7.79072;0
28-3-2017 00:00;7.5376;0
29-3-2017 00:00;8.4616;0
30-3-2017 00:00;7.57568;0
31-3-2017 00:00;7.57008;0
1-4-2017 00:00;8.668;0
2-4-2017 00:00;10.08256;0
3-4-2017 00:00;6.80768;0
4-4-2017 00:00;7.04624;0
5-4-2017 00:00;6.84912;0
6-4-2017 00:00;7.59168;0
7-4-2017 00:00;6.4728;0
8-4-2017 00:00;6.96896;0
9-4-2017 00:00;7.36656;0
10-4-2017 00:00;6.30368;0
11-4-2017 00:00;6.97792;0
12-4-2017 00:00;6.06064;0
13-4-2017 00:00;7.62864;0
14-4-2017 00:00;5.00336;0
15-4-2017 00:00;6.91072;0
16-4-2017 00:00;7.40688;0
17-4-2017 00:00;6.63968;0
18-4-2017 00:00;6.82224;0
19-4-2017 00:00;4.34256;0
20-4-2017 00:00;4.88688;0
21-4-2017 00:00;5.51184;0
22-4-2017 00:00;6.19504;0
23-4-2017 00:00;6.25888;0
24-4-2017 00:00;4.14096;0
25-4-2017 00:00;6.12336;0
26-4-2017 00:00;4.57328;0
27-4-2017 00:00;3.9528;0
28-4-2017 00:00;5.31696;0
29-4-2017 00:00;4.83312;0
30-4-2017 00:00;3.8576;0
1-5-2017 00:00;2.1384;0
2-5-2017 00:00;4.47248;0
3-5-2017 00:00;5.18144;0
4-5-2017 00:00;5.4928;0
5-5-2017 00:00;4.13872;0
6-5-2017 00:00;4.00656;0
7-5-2017 00:00;4.94288;0
8-5-2017 00:00;3.39392;0
9-5-2017 00:00;3.79936;0
10-5-2017 00:00;4.79056;0
11-5-2017 00:00;3.7904;0
12-5-2017 00:00;4.54416;0
13-5-2017 00:00;7.62752;0
14-5-2017 00:00;4.36832;0
15-5-2017 00:00;3.42528;0
16-5-2017 00:00;-3.356;0
17-5-2017 00:00;4.87456;0
18-5-2017 00:00;9.63568;0
19-5-2017 00:00;6.0248;0
20-5-2017 00:00;5.61712;0
21-5-2017 00:00;2.676;0
22-5-2017 00:00;2.98176;0
23-5-2017 00:00;5.85792;0
24-5-2017 00:00;4.50832;0
25-5-2017 00:00;9.5808;0
26-5-2017 00:00;7.53232;0
27-5-2017 00:00;6.74384;0
28-5-2017 00:00;11.20256;0
29-5-2017 00:00;8.26704;0
30-5-2017 00:00;7.84256;0
31-5-2017 00:00;9.80592;0
1-6-2017 00:00;8.11808;0
2-6-2017 00:00;6.652;0
3-6-2017 00:00;6.64864;0
4-6-2017 00:00;8.61088;0
5-6-2017 00:00;7.54464;0
6-6-2017 00:00;4.19136;0
7-6-2017 00:00;9.24704;0
8-6-2017 00:00;8.79008;0
9-6-2017 00:00;2.34672;0
10-6-2017 00:00;7.20416;0
11-6-2017 00:00;3.38496;0
12-6-2017 00:00;5.90496;0
13-6-2017 00:00;6.21072;0
14-6-2017 00:00;3.68176;0
15-6-2017 00:00;1.5448;0
16-6-2017 00:00;7.53344;0
17-6-2017 00:00;6.2544;0
18-6-2017 00:00;6.12336;0
19-6-2017 00:00;3.84304;0
20-6-2017 00:00;3.90352;0
21-6-2017 00:00;1.404;0
22-6-2017 00:00;1.449;0
23-6-2017 00:00;1.496;0
24-6-2017 00:00;1.437;0
25-6-2017 00:00;1.461;0
26-6-2017 00:00;4.55921;0
27-6-2017 00:00;4.39674;0
28-6-2017 00:00;4.88723;0
29-6-2017 00:00;5.37849;0
30-6-2017 00:00;4.97039;0
1-7-2017 00:00;6.08354;0
2-7-2017 00:00;5.80788;0
3-7-2017 00:00;2.37599;0
4-7-2017 00:00;3.83437;0
5-7-2017 00:00;2.62316;0
6-7-2017 00:00;4.11696;0
7-7-2017 00:00;6.29914;0
8-7-2017 00:00;6.54554;0
9-7-2017 00:00;5.27273;0
10-7-2017 00:00;4.08077;0
11-7-2017 00:00;4.76068;0
12-7-2017 00:00;17.45336;0
13-7-2017 00:00;13.0967;0
14-7-2017 00:00;5.54839;0
15-7-2017 00:00;4.93855;0
16-7-2017 00:00;3.772;0
17-7-2017 00:00;3.19527;0
18-7-2017 00:00;4.26788;0
19-7-2017 00:00;2.82182;0
20-7-2017 00:00;3.75121;0
21-7-2017 00:00;5.37283;0
22-7-2017 00:00;4.33179;0
23-7-2017 00:00;4.89389;0
24-7-2017 00:00;7.06837;0
25-7-2017 00:00;5.09024;0
26-7-2017 00:00;2.04797;0
27-7-2017 00:00;2.64703;0
28-7-2017 00:00;2.21737;0
29-7-2017 00:00;5.10949;0
30-7-2017 00:00;4.34565;0
31-7-2017 00:00;4.90236;0
1-8-2017 00:00;3.5718;0
2-8-2017 00:00;2.56618;0
3-8-2017 00:00;3.00123;0
4-8-2017 00:00;6.53476;0
5-8-2017 00:00;7.08993;0
6-8-2017 00:00;7.85454;0
7-8-2017 00:00;5.95264;0
8-8-2017 00:00;3.89443;0
9-8-2017 00:00;4.02148;0
10-8-2017 00:00;4.69292;0
11-8-2017 00:00;5.08485;0
12-8-2017 00:00;4.90929;0
13-8-2017 00:00;5.21806;0
14-8-2017 00:00;3.54716;0
15-8-2017 00:00;3.82359;0
16-8-2017 00:00;3.62647;0
17-8-2017 00:00;4.07923;0
18-8-2017 00:00;4.30176;0
19-8-2017 00:00;5.83329;0
20-8-2017 00:00;5.91106;0
21-8-2017 00:00;4.72295;0
22-8-2017 00:00;3.34927;0
23-8-2017 00:00;2.4707;0
24-8-2017 00:00;5.00785;0
25-8-2017 00:00;4.57819;0
26-8-2017 00:00;4.11696;0
27-8-2017 00:00;5.16262;0
28-8-2017 00:00;3.77354;0
29-8-2017 00:00;4.22707;0
30-8-2017 00:00;4.77069;0
31-8-2017 00:00;7.40948;0
1-9-2017 00:00;5.71317;0
2-9-2017 00:00;4.79302;0
3-9-2017 00:00;3.87518;0
4-9-2017 00:00;2.27512;0
5-9-2017 00:00;3.61184;0
6-9-2017 00:00;4.70832;0
7-9-2017 00:00;4.75221;0
8-9-2017 00:00;3.5718;0
9-9-2017 00:00;8.7616;0
10-9-2017 00:00;6.09971;0
11-9-2017 00:00;4.45653;0
12-9-2017 00:00;6.57018;0
13-9-2017 00:00;6.98059;0
14-9-2017 00:00;20.85984;0
15-9-2017 00:00;42.40136;0
16-9-2017 00:00;23.84128;0
17-9-2017 00:00;13.6896;0
18-9-2017 00:00;8.81088;0
19-9-2017 00:00;9.01724;0
20-9-2017 00:00;7.08762;0
21-9-2017 00:00;6.5608;0
22-9-2017 00:00;7.32688;0
23-9-2017 00:00;6.34688;0
24-9-2017 00:00;6.28864;0
25-9-2017 00:00;4.88304;0
26-9-2017 00:00;4.39248;0
27-9-2017 00:00;4.98496;0
28-9-2017 00:00;3.93216;0
29-9-2017 00:00;5.25712;0
30-9-2017 00:00;6.4208;0
1-10-2017 00:00;3.48208;0
2-10-2017 00:00;2.66896;0
3-10-2017 00:00;4.57968;0
4-10-2017 00:00;2.90976;0
5-10-2017 00:00;7.89712;0
6-10-2017 00:00;8.49072;0
7-10-2017 00:00;7.86016;0
8-10-2017 00:00;16.50992;0
9-10-2017 00:00;12.38944;0
10-10-2017 00:00;8.00688;0
11-10-2017 00:00;6.98992;0
12-10-2017 00:00;6.7648;0
13-10-2017 00:00;5.11616;0
14-10-2017 00:00;5.11056;0
15-10-2017 00:00;4.4184;0
16-10-2017 00:00;2.42256;0
17-10-2017 00:00;4.05104;0
18-10-2017 00:00;3.47536;0
