Tijdstip;Verdamping_I;Verdamping_II;Verdamping_III;Verdamping_IV;Verdamping_V;Verdamping_VI;Verdamping_VII;Verdamping_VIII;Verdamping_IX
;m3/s;m3/s;m3/s;m3/s;m3/s;m3/s;m3/s;m3/s;m3/s
2018-08-25 00:00;0.4861111111111111;0.25925925925925924;0.21064814814814814;0.4537037037037037;0.056712962962962965;0.056712962962962965;0.27546296296296297;0.08101851851851852;0.04861111111111111
2018-08-26 00:00;0.5902777777777778;0.3148148148148148;0.25578703703703703;0.5509259259259259;0.06886574074074074;0.06886574074074074;0.33449074074074076;0.09837962962962964;0.059027777777777776
2018-08-27 00:00;0.3993055555555556;0.21296296296296297;0.1730324074074074;0.3726851851851852;0.04658564814814815;0.04658564814814815;0.22627314814814814;0.06655092592592593;0.03993055555555555
2018-08-28 00:00;0.20833333333333334;0.1111111111111111;0.09027777777777776;0.19444444444444445;0.024305555555555556;0.024305555555555556;0.11805555555555555;0.03472222222222222;0.020833333333333332
2018-08-29 00:00;0.1909722222222222;0.10185185185185185;0.08275462962962964;0.17824074074074076;0.022280092592592594;0.022280092592592594;0.10821759259259259;0.031828703703703706;0.019097222222222224
2018-08-30 00:00;0.4861111111111111;0.25925925925925924;0.21064814814814814;0.4537037037037037;0.056712962962962965;0.056712962962962965;0.27546296296296297;0.08101851851851852;0.04861111111111111
2018-08-31 00:00;0.3298611111111111;0.17592592592592593;0.14293981481481483;0.30787037037037035;0.038483796296296294;0.038483796296296294;0.1869212962962963;0.05497685185185185;0.03298611111111111
2018-09-01 00:00;0.31250000000000006;0.16666666666666669;0.13541666666666669;0.2916666666666667;0.036458333333333336;0.036458333333333336;0.17708333333333334;0.052083333333333336;0.03125000000000001
2018-09-02 00:00;0.36458333333333337;0.19444444444444448;0.15798611111111113;0.34027777777777785;0.04253472222222223;0.04253472222222223;0.20659722222222227;0.0607638888888889;0.036458333333333336
2018-09-03 00:00;0.5729166666666666;0.3055555555555556;0.2482638888888889;0.5347222222222222;0.06684027777777778;0.06684027777777778;0.3246527777777778;0.0954861111111111;0.057291666666666664
2018-09-04 00:00;0.5555555555555556;0.2962962962962963;0.24074074074074073;0.5185185185185185;0.06481481481481481;0.06481481481481481;0.3148148148148148;0.09259259259259259;0.05555555555555555
2018-09-05 00:00;0.5034722222222222;0.26851851851851855;0.2181712962962963;0.4699074074074074;0.05873842592592592;0.05873842592592592;0.28530092592592593;0.08391203703703702;0.050347222222222224
2018-09-06 00:00;0.2777777777777778;0.14814814814814814;0.12037037037037036;0.25925925925925924;0.032407407407407406;0.032407407407407406;0.1574074074074074;0.046296296296296294;0.027777777777777776
2018-09-07 00:00;0.2951388888888889;0.1574074074074074;0.12789351851851852;0.27546296296296297;0.03443287037037037;0.03443287037037037;0.16724537037037038;0.04918981481481482;0.029513888888888888
2018-09-08 00:00;0.4340277777777778;0.23148148148148148;0.1880787037037037;0.4050925925925926;0.05063657407407408;0.05063657407407408;0.24594907407407407;0.07233796296296297;0.043402777777777776
2018-09-09 00:00;0.3298611111111111;0.17592592592592593;0.14293981481481483;0.30787037037037035;0.038483796296296294;0.038483796296296294;0.1869212962962963;0.05497685185185185;0.03298611111111111
2018-09-10 00:00;0.08680555555555555;0.046296296296296294;0.03761574074074074;0.08101851851851852;0.010127314814814815;0.010127314814814815;0.04918981481481482;0.014467592592592593;0.008680555555555556
2018-09-11 00:00;0.4340277777777778;0.23148148148148148;0.1880787037037037;0.4050925925925926;0.05063657407407408;0.05063657407407408;0.24594907407407407;0.07233796296296297;0.043402777777777776
2018-09-12 00:00;0.22569444444444448;0.12037037037037039;0.09780092592592594;0.2106481481481482;0.026331018518518524;0.026331018518518524;0.12789351851851855;0.03761574074074075;0.022569444444444448
2018-09-13 00:00;0.5208333333333334;0.2777777777777778;0.22569444444444445;0.4861111111111111;0.06076388888888889;0.06076388888888889;0.2951388888888889;0.08680555555555555;0.052083333333333336
2018-09-14 00:00;0.5208333333333334;0.2777777777777778;0.22569444444444445;0.4861111111111111;0.06076388888888889;0.06076388888888889;0.2951388888888889;0.08680555555555555;0.052083333333333336
2018-09-15 00:00;0.45138888888888895;0.24074074074074078;0.1956018518518519;0.4212962962962964;0.05266203703703705;0.05266203703703705;0.2557870370370371;0.0752314814814815;0.045138888888888895
2018-09-16 00:00;0.4340277777777778;0.23148148148148148;0.1880787037037037;0.4050925925925926;0.05063657407407408;0.05063657407407408;0.24594907407407407;0.07233796296296297;0.043402777777777776
2018-09-17 00:00;0.45138888888888895;0.24074074074074078;0.1956018518518519;0.4212962962962964;0.05266203703703705;0.05266203703703705;0.2557870370370371;0.0752314814814815;0.045138888888888895
2018-09-18 00:00;0.4861111111111111;0.25925925925925924;0.21064814814814814;0.4537037037037037;0.056712962962962965;0.056712962962962965;0.27546296296296297;0.08101851851851852;0.04861111111111111
2018-09-19 00:00;0.4340277777777778;0.23148148148148148;0.1880787037037037;0.4050925925925926;0.05063657407407408;0.05063657407407408;0.24594907407407407;0.07233796296296297;0.043402777777777776
2018-09-20 00:00;0.45138888888888895;0.24074074074074078;0.1956018518518519;0.4212962962962964;0.05266203703703705;0.05266203703703705;0.2557870370370371;0.0752314814814815;0.045138888888888895
2018-09-21 00:00;0.45138888888888895;0.24074074074074078;0.1956018518518519;0.4212962962962964;0.05266203703703705;0.05266203703703705;0.2557870370370371;0.0752314814814815;0.045138888888888895
2018-09-22 00:00;0.3819444444444444;0.2037037037037037;0.16550925925925927;0.3564814814814815;0.04456018518518519;0.04456018518518519;0.21643518518518517;0.06365740740740741;0.03819444444444445
2018-09-23 00:00;0.36458333333333337;0.19444444444444448;0.15798611111111113;0.34027777777777785;0.04253472222222223;0.04253472222222223;0.20659722222222227;0.0607638888888889;0.036458333333333336
2018-09-24 00:00;0.24305555555555555;0.12962962962962962;0.10532407407407407;0.22685185185185186;0.028356481481481483;0.028356481481481483;0.13773148148148148;0.04050925925925926;0.024305555555555556
2018-09-25 00:00;0.4166666666666667;0.2222222222222222;0.18055555555555552;0.3888888888888889;0.04861111111111111;0.04861111111111111;0.2361111111111111;0.06944444444444443;0.041666666666666664
2018-09-26 00:00;0.2951388888888889;0.1574074074074074;0.12789351851851852;0.27546296296296297;0.03443287037037037;0.03443287037037037;0.16724537037037038;0.04918981481481482;0.029513888888888888
2018-09-27 00:00;0.24305555555555555;0.12962962962962962;0.10532407407407407;0.22685185185185186;0.028356481481481483;0.028356481481481483;0.13773148148148148;0.04050925925925926;0.024305555555555556
2018-09-28 00:00;0.1388888888888889;0.07407407407407407;0.06018518518518518;0.12962962962962962;0.016203703703703703;0.016203703703703703;0.0787037037037037;0.023148148148148147;0.013888888888888888
2018-09-29 00:00;0.2951388888888889;0.1574074074074074;0.12789351851851852;0.27546296296296297;0.03443287037037037;0.03443287037037037;0.16724537037037038;0.04918981481481482;0.029513888888888888
2018-09-30 00:00;0.3298611111111111;0.17592592592592593;0.14293981481481483;0.30787037037037035;0.038483796296296294;0.038483796296296294;0.1869212962962963;0.05497685185185185;0.03298611111111111
2018-10-01 00:00;0.15625000000000003;0.08333333333333334;0.06770833333333334;0.14583333333333334;0.018229166666666668;0.018229166666666668;0.08854166666666667;0.026041666666666668;0.015625000000000003
2018-10-02 00:00;0.1736111111111111;0.09259259259259259;0.07523148148148148;0.16203703703703703;0.02025462962962963;0.02025462962962963;0.09837962962962964;0.028935185185185185;0.017361111111111112
2018-10-03 00:00;0.22569444444444448;0.12037037037037039;0.09780092592592594;0.2106481481481482;0.026331018518518524;0.026331018518518524;0.12789351851851855;0.03761574074074075;0.022569444444444448
2018-10-04 00:00;0.31250000000000006;0.16666666666666669;0.13541666666666669;0.2916666666666667;0.036458333333333336;0.036458333333333336;0.17708333333333334;0.052083333333333336;0.03125000000000001
2018-10-05 00:00;0.1909722222222222;0.10185185185185185;0.08275462962962964;0.17824074074074076;0.022280092592592594;0.022280092592592594;0.10821759259259259;0.031828703703703706;0.019097222222222224
2018-10-06 00:00;0.1388888888888889;0.07407407407407407;0.06018518518518518;0.12962962962962962;0.016203703703703703;0.016203703703703703;0.0787037037037037;0.023148148148148147;0.013888888888888888
2018-10-07 00:00;0.24305555555555555;0.12962962962962962;0.10532407407407407;0.22685185185185186;0.028356481481481483;0.028356481481481483;0.13773148148148148;0.04050925925925926;0.024305555555555556
2018-10-08 00:00;0.08680555555555555;0.046296296296296294;0.03761574074074074;0.08101851851851852;0.010127314814814815;0.010127314814814815;0.04918981481481482;0.014467592592592593;0.008680555555555556
2018-10-09 00:00;0.1388888888888889;0.07407407407407407;0.06018518518518518;0.12962962962962962;0.016203703703703703;0.016203703703703703;0.0787037037037037;0.023148148148148147;0.013888888888888888
2018-10-10 00:00;0.1388888888888889;0.07407407407407407;0.06018518518518518;0.12962962962962962;0.016203703703703703;0.016203703703703703;0.0787037037037037;0.023148148148148147;0.013888888888888888
2018-10-11 00:00;0.1388888888888889;0.07407407407407407;0.06018518518518518;0.12962962962962962;0.016203703703703703;0.016203703703703703;0.0787037037037037;0.023148148148148147;0.013888888888888888
2018-10-12 00:00;0.2777777777777778;0.14814814814814814;0.12037037037037036;0.25925925925925924;0.032407407407407406;0.032407407407407406;0.1574074074074074;0.046296296296296294;0.027777777777777776
2018-10-13 00:00;0.1909722222222222;0.10185185185185185;0.08275462962962964;0.17824074074074076;0.022280092592592594;0.022280092592592594;0.10821759259259259;0.031828703703703706;0.019097222222222224
2018-10-14 00:00;0.2951388888888889;0.1574074074074074;0.12789351851851852;0.27546296296296297;0.03443287037037037;0.03443287037037037;0.16724537037037038;0.04918981481481482;0.029513888888888888
2018-10-15 00:00;0.2777777777777778;0.14814814814814814;0.12037037037037036;0.25925925925925924;0.032407407407407406;0.032407407407407406;0.1574074074074074;0.046296296296296294;0.027777777777777776
