Tijdstip;I -> II;II -> III;III -> V;IV -> III;V -> VI;VI -> VII;VII -> VIII;VIII -> IX;IV -> X
;m3/s;m3/s;m3/s;m3/s;m3/s;m3/s;m3/s;m3/s
2018-01-01 00:00;20.423512605042017;20.93331932773109;9.106386554621846;-10.930588235294119;7.365063025210081;5.623739495798317;2.5515966386554583;0.2068487394957942;9.0
2018-01-02 00:00;20.52636974789916;20.683033613445374;8.996672268907558;-10.834588235294119;7.267348739495793;5.538025210084028;2.5241680672268836;0.19656302521007651;9.0
2018-01-03 00:00;20.59821848739496;20.508201680672272;8.920033613445378;-10.767529411764707;7.19909243697479;5.478151260504202;2.505008403361344;0.18937815126050345;9.0
2018-01-04 00:00;20.875025210084033;19.834638655462182;8.624773109243694;-10.509176470588235;6.936126050420166;5.247478991596637;2.431193277310922;0.16169747899159426;9.0
2018-01-05 00:00;20.437630252100842;20.89896638655462;9.09132773109243;-10.917411764705884;7.3516512605041955;5.61197478991596;2.5478319327731027;0.20543697478990935;9.0
2018-01-06 00:00;20.495109243697478;20.75910084033613;9.030016806722685;-10.863764705882353;7.297046218487391;5.564075630252097;2.532504201680668;0.1996890756302478;9.0
2018-01-07 00:00;20.308302521008404;21.213663865546216;9.229277310924367;-11.038117647058824;7.474512605042014;5.71974789915966;2.5823193277310885;0.2183697478991556;9.0
2018-01-08 00:00;20.375865546218485;21.049260504201676;9.157210084033608;-10.975058823529412;7.410327731092431;5.663445378151254;2.564302521008396;0.21161344537814392;9.0
2018-01-09 00:00;20.234689075630254;21.392789915966386;9.30779831932773;-11.106823529411765;7.544445378151259;5.781092436974788;2.601949579831931;0.2257310924369732;9.0
2018-01-10 00:00;19.827294117647057;22.384117647058822;9.74235294117647;-11.487058823529411;7.931470588235294;6.120588235294117;2.710588235294116;0.26647058823529257;9.0
2018-01-11 00:00;32.03012208216621;34.70012052598819;7.046003112356048;-27.594803649237498;5.530034021942105;4.014064931528162;2.0365007780890125;0.01368779178338031;27.46705092592596
2018-01-12 00:00;33.138555555555556;35.837518518518515;7.0975931562161945;-28.709832769709728;5.589491304364342;4.08138945251249;2.1420376006606388;0.13046352658656468;28.645017954894914
2018-01-13 00:00;77.30632014309849;88.70429088608435;52.40493224039906;-33.8528973743613;50.24626959042722;48.08760694045537;42.988388354877856;40.04744171206094;28.583596174586564
2018-01-14 00:00;85.02793838917694;94.38670553007131;56.60918457116951;-35.324394260878485;54.448727383240154;52.2882701953108;47.18033528251108;44.23682501404057;30.04073675744364
2018-01-15 00:00;68.55963726860617;80.60451047852946;62.020804575568214;-20.96341538602393;61.161495590238935;60.30218660490966;61.51411439045316;60.42938726855419;26.088943503389693
2018-01-16 00:00;54.178090310229486;63.50107180901854;45.81728410918402;-20.380460167600628;45.04331131204413;44.26933851490424;45.89575635736762;44.932938075739195;26.18867779048148
2018-01-17 00:00;34.617555555555555;37.82351851851852;6.974074074074077;-30.81935185185185;5.465972222222225;3.9578703703703737;2.018518518518522;0.00694444444444808;30.754537037037036
2018-01-18 00:00;31.764958333333333;34.292069444444444;7.004647881857876;-27.276136840364344;5.501609687413431;3.9985714929689866;2.083814548524541;0.0794742707467632;27.251831284808787
2018-01-19 00:00;28.74822222222222;29.924407407407408;6.529629629629626;-23.545240740740745;5.070138888888885;3.6106481481481443;1.9074074074074037;-0.03472222222222598;23.869314814814818
2018-01-20 00:00;28.68402777777778;30.78584259259259;5.770370370370365;-25.474384259259264;4.393923611111106;3.0174768518518467;1.7175925925925881;-0.10590277777778204;26.46281018518519
2018-01-21 00:00;25.46897222222222;25.79382407407407;6.6962962962962935;-19.180282407407407;5.218576388888886;3.7408564814814786;1.949074074074072;-0.019097222222224132;19.358523148148148
2018-01-22 00:00;23.507569444444442;24.965273148148146;6.74259259259259;-18.286627314814815;5.259809027777775;3.7770254629629605;1.9606481481481457;-0.014756944444446893;18.424358796296296
2018-01-23 00:00;22.344527777777778;23.60334259259259;6.770370370370374;-16.885634259259252;5.284548611111115;3.7987268518518555;1.9675925925925957;-0.012152777777774904;16.99906018518518
2018-01-24 00:00;22.04583333333333;23.283277777777773;7.011111111111107;-16.227027777777778;5.498958333333329;3.9868055555555513;2.0277777777777746;0.010416666666663663;16.129805555555556
2018-01-25 00:00;23.251736111111107;24.215995370370365;6.631481481481478;-17.693599537037034;5.160850694444441;3.690219907407403;1.9328703703703647;-0.02517361111111719;17.928553240740733
2018-01-26 00:00;22.551277777777777;23.98209259259259;6.270370370370368;-17.96750925925926;4.839236111111108;3.4081018518518493;1.8425925925925901;-0.059027777777780274;18.518435185185186
2018-01-27 00:00;22.049555555555557;21.71151851851852;6.974074074074071;-14.707351851851858;5.465972222222219;3.9578703703703675;2.018518518518517;0.006944444444442951;14.642537037037044
2018-01-28 00:00;22.798930555555557;23.401226851851856;6.057407407407408;-17.68612268518519;4.649565972222223;3.2417245370370376;1.7893518518518532;-0.07899305555555403;18.42339120370371
2018-01-29 00:00;24.194277777777774;26.566759259259257;4.937037037037038;-22.427175925925923;3.651736111111111;2.3664351851851846;1.5092592592592573;-0.18402777777778007;24.14476851851851
2018-01-30 00:00;34.766375;39.56370833333333;15.38793518518518;-25.360668981481485;14.206945601851846;13.025956018518512;12.675435185185178;11.131164351851844;27.912752314814817
2018-01-31 00:00;31.922027777777778;34.97950925925926;6.437037037037034;-28.73055092592593;4.987673611111108;3.5383101851851824;1.8842592592592564;-0.043402777777780635;29.13564351851852
